date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare,report_date,epsEstimated,time,revenueEstimated,updatedFromDate,fiscalDateEnding,surprise(%),QuarterAvgPrice,QuarterAvgVolume
2025-03-31,VRTX,USD,875320,2025-05-05,2025-05-05 16:10:03,2025,Q1,2770200000.0,363000000.0,2407200000.0,0.8689625298,979700000,0.0,0.0,396400000.0,401000000.0,1777100000.0,2140100000.0,120900000.0,-3000000.0,-97300000.0,630100000.0,0.2274565013,630100000.0,0.2274565013,100300000.0,730400000.0,0.2636632734,84100000.0,646300000.0,0.2333044546,2.52,2.49,256899999,259500000,https://www.sec.gov/Archives/edgar/data/875320/000087532025000171/0000875320-25-000171-index.htm,https://www.sec.gov/Archives/edgar/data/875320/000087532025000171/ex-991_q12025.htm,10.78318416030823,2.5157648988546706,,,24.13857541509761,67.91825639516644,61.9657456674416,89.06383841597446,6.407551601430718,124550257515.18,126199357515.18,48.17819028128578,44.96074561951483,0.0,0.0,5.443511178303796,5.443511178303796,45.55604559785575,200.2846492861133,0.0,0.0,0.005189069961748,,0.0720744738969865,0.0720744738969865,2.6172036184732583,2.645591034045253,-210.03333333333333,0.0,,,0.0,0.3536567756840661,0.0668342037979939,0.0,,0.0,,71.00304757539557,0.0291951627449741,0.030269819636275,10.9092059591639,6225600000.0,15919000000.0,4576500000.0,10389200000.0,1707250000.0,206500000.0,1282550000.0,58.64522417153996,0.0,337.11570247933884,1.534651819843776,0.0,0.2669706552916084,0.0282467603417757,,2025-05-05,4.25,amc,2861806801.0,2025-05-11,2025-03-31,-0.0447058823529412,466.03725,1462023.7166666666
2024-12-31,VRTX,USD,875320,2025-02-13,2025-02-13 16:01:52,2024,Q4,2912000000.0,423400000.0,2488600000.0,0.8546016484,998700000,0.0,0.0,377600000.0,86300000.0,1376300000.0,1886000000.0,128200000.0,2800000.0,46500000.0,1184400000.0,0.4067307692,1026000000.0,0.3523351648,110500000.0,1136500000.0,0.3902815934,223500000.0,913000000.0,0.3135302198,3.55,3.5,257500000,260500000,https://www.sec.gov/Archives/edgar/data/875320/000087532025000053/0000875320-25-000053-index.htm,https://www.sec.gov/Archives/edgar/data/875320/000087532025000053/vrtx-20241231.htm,11.30873786407767,3.545631067961165,2.270291262135922,1.9106796116504856,23.75106796116505,63.726601941747575,56.29398058252427,63.726601941747575,6.80504854368932,103695250000.0,100875150000.0,28.3940991237678,35.60963255494506,177.37812179267877,210.7627032520325,6.319182064157566,6.319182064157566,34.64119162087912,85.16983282674772,172.5541395826206,205.03079268292683,0.0088046463073284,0.0047446724898199,0.106614420826833,0.0776409919585323,-2.3810368118878755,2.692139370476351,366.4285714285714,0.6403066812705367,0.0,0.0,0.0,0.3429601648351648,0.0849368931177107,0.1583989052343482,0.0317994505494505,1.9913978494623656,0.0576236263736263,71.30145821268823,0.0432419524962682,0.0442789037455199,6.998252427184466,6031800000.0,14495700000.0,3472800000.0,10530300000.0,1680000000.0,404400000.0,1142600000.0,49.74107142857143,87.78932451582429,256.22579121398206,1.8093699515347337,1.025181598062954,0.3512526962004313,0.055638163026521,0.3596116504854369,2025-02-10,4.02,amc,2784163726.0,2025-05-10,2024-12-31,-0.0099502487562188,463.53203125,1416049.34375
2024-09-30,VRTX,USD,875320,2024-11-05,2024-11-05 16:11:53,2024,Q3,2771900000.0,392600000.0,2379300000.0,0.8583642989,875900000,0.0,0.0,371800000.0,15300000.0,1263000000.0,1655600000.0,132200000.0,7500000.0,53200000.0,1284800000.0,0.4635087846,1116300000.0,0.4027201558,107800000.0,1224100000.0,0.4416104477,178700000.0,1045400000.0,0.3771420325,4.05,4.01,258000000,261000000,https://www.sec.gov/Archives/edgar/data/875320/000087532024000223/0000875320-24-000223-index.htm,https://www.sec.gov/Archives/edgar/data/875320/000087532024000223/vrtx-20240930.htm,10.743798449612402,4.051937984496124,5.309302325581395,5.774418604651163,25.28875968992248,60.58488372093024,53.14457364341085,60.58488372093024,6.629457364341086,119990640000.0,116454340000.0,28.694911038836807,43.28822829106389,87.59719667104686,80.54144180426903,7.676502312726714,7.676502312726714,42.01246076698293,90.64005292652551,85.01557891663016,78.16776748556853,0.0087123462296725,0.0124159684455387,0.1089444625709332,0.0765685560381651,-2.7524128268991284,2.467619742770129,148.84,1.3103118423569926,0.0,0.0,0.0,0.3159926404271438,0.0863121734516775,0.0876040297853701,0.0432916050362567,2.255639097744361,0.0665969190807749,74.31984467011591,0.0521887525659009,0.0514453313386415,6.852906976744186,5831000000.0,13711300000.0,3194800000.0,10264500000.0,1703350000.0,361850000.0,997200000.0,56.839712832353264,90.7335710646969,247.53438614365768,1.5833999771506913,0.9919151086407276,0.3635858492313391,0.0668803459813574,0.4651162790697674,2024-11-04,4.14,amc,2685460400.0,2025-04-25,2024-09-30,0.0579710144927536,480.365625,1072544.5625
2024-06-30,VRTX,USD,875320,2024-08-02,2024-08-02 16:03:02,2024,Q2,2634700000.0,371900000.0,2262800000.0,0.8588454093,5415700000,0.0,0.0,372200000.0,-23100000.0,5787900000.0,6159800000.0,156500000.0,9900000.0,54000000.0,-3327300000.0,-1.2628762288,-3525100000.0,-1.3379511899,123500000.0,-3391200000.0,-1.2871294645,202400000.0,-3593600000.0,-1.3639503549,-13.92,-13.92,258100000,258100000,https://www.sec.gov/Archives/edgar/data/875320/000087532024000198/0000875320-24-000198-index.htm,https://www.sec.gov/Archives/edgar/data/875320/000087532024000198/vrtx-20240630.htm,10.208058891902365,-13.923285548237118,-14.54320030995738,-14.840371948857031,22.454475009686167,57.24409143742735,49.78380472685006,57.24409143742735,3.654784967067029,121629625000.0,117982925000.0,-8.461544481856635,46.16450639541504,-32.4034593456948,-31.7545949403441,8.232290672568649,8.232290672568649,44.78040194329525,-35.45905839569621,-31.431938672208013,-30.802528522570032,-0.0295454335241105,-0.0314915054617655,0.0631755636324257,0.046363767316872,1.09599374868512,2.520748759585025,-356.07070707070704,1.0445235975066784,0.0,0.0,0.0,2.0555281436216646,0.0956432761609568,-0.0204337169650468,0.0291114737920825,1.4203703703703705,0.0585265874672638,,-0.2252345008284354,-0.1973789724605363,8.281576908175126,5394400000.0,12849200000.0,3584200000.0,9090600000.0,1724650000.0,339650000.0,863850000.0,56.571526169962425,79.3519763377252,221.33369185264857,1.5909063462351307,1.13418725221104,0.4066258473649683,-0.2432265968175326,0.2971716388996513,2024-08-01,-11.63,amc,2663659477.0,2025-04-25,2024-06-30,0.1031814273430781,434.04603174603176,1168789.253968254
2024-03-31,VRTX,USD,875320,2024-05-07,2024-05-07 16:14:28,2024,Q1,2687200000.0,342600000.0,2344600000.0,0.8725066984,865900000,0.0,0.0,342700000.0,-31200000.0,1208600000.0,1551200000.0,181200000.0,10400000.0,53500000.0,1343000000.0,0.4997767193,1136000000.0,0.4227448645,139600000.0,1279100000.0,0.4759973206,179500000.0,1099600000.0,0.4091991664,4.26,4.21,258200000,261100000,https://www.sec.gov/Archives/edgar/data/875320/000087532024000139/0000875320-24-000139-index.htm,https://www.sec.gov/Archives/edgar/data/875320/000087532024000139/vrtx-20240331.htm,10.407436096049574,4.258714175058095,5.060418280402788,4.098373353989156,39.393106119287374,71.8303640588691,64.38303640588691,71.8303640588691,2.833849728892332,108567936000.0,100131236000.0,24.6835067297199,40.40188151235487,83.09194550742386,102.59680211680212,5.853791854032545,5.853791854032545,37.26229383745162,74.55788235294118,76.63495790601561,94.62411264411264,0.0101282205457051,0.0097468924895099,0.0388912253458855,0.0301579603134119,-6.281980640357409,3.500803498511552,109.23076923076924,1.1882502728264823,0.0,0.0,0.0,0.3222313188448943,0.0803975348491056,0.1901117403949181,0.0924382256623995,4.642990654205607,0.071412622804406,82.96301746190593,0.0485342374564008,0.0499943167610084,25.37548412083656,9492800000.0,16623700000.0,7917900000.0,12901400000.0,1678300000.0,358150000.0,775950000.0,60.05805299196189,92.31173380035028,213.59894921190897,1.4985500780727192,0.974957313602732,0.4213503874062231,0.0592884949262937,0.9620449264136328,2024-05-06,4.06,amc,2581247308.0,2025-04-25,2024-03-31,0.1724137931034483,422.7404918032786,1321281.049180328
2023-12-31,VRTX,USD,875320,2024-02-15,2024-02-15 16:12:14,2023,Q4,2517700000.0,368000000.0,2149700000.0,0.8538348493,821800000,0.0,0.0,369100000.0,-9800000.0,1190900000.0,1558900000.0,179500000.0,10600000.0,59000000.0,1217200000.0,0.4834571236,958800000.0,0.3808237677,159100000.0,1147600000.0,0.4558128451,178800000.0,968800000.0,0.3847956468,3.76,3.71,257700000,260899999,https://www.sec.gov/Archives/edgar/data/875320/000087532024000062/0000875320-24-000062-index.htm,https://www.sec.gov/Archives/edgar/data/875320/000087532024000062/vrtx-20231231.htm,9.76988746604579,3.7594101668606905,0.910360884749709,0.459837019790454,43.544819557625146,68.22041133100504,60.739231664726425,68.22041133100504,3.178114086146682,104855553000.0,95291653000.0,27.058101001238647,41.64735790602534,446.9546163682864,884.8569873417722,5.964343985347319,5.964343985347319,37.8486924574016,78.28758872822873,406.1877791986359,804.148970464135,0.009239377145815,0.0011301261269396,0.0459830265522968,0.0355650192255237,-7.857295432139336,3.987201894345154,90.45283018867924,0.2421552436003303,0.0,0.0,0.0,0.3264090241093061,0.0848166756121811,0.4948849104859335,0.0461135163045636,1.967796610169492,0.0828533979425666,75.96407985862113,0.0420115581401724,0.0465717733135278,29.54462553356616,10596800000.0,15652500000.0,8994400000.0,13977600000.0,1551050000.0,370400000.0,713750000.0,55.88672200818207,89.24184782608695,180.68478260869568,1.610400409364206,1.0084954782132092,0.4981050351922035,0.0551068235079975,0.4505238649592549,2024-02-05,4.1,amc,2512806468.0,2025-04-25,2023-12-31,0.0243902439024391,369.4160317460317,1414084.650793651
2023-09-30,VRTX,USD,875320,2023-11-07,2023-11-07 16:16:57,2023,Q3,2483500000.0,318700000.0,2164800000.0,0.8716730421,810000000,0.0,0.0,263800000.0,-15900000.0,1073800000.0,1392500000.0,167900000.0,10900000.0,42100000.0,1232200000.0,0.4961546205,1038100000.0,0.417998792,141100000.0,1179200000.0,0.4748137709,143900000.0,1035300000.0,0.4168713509,4.01,3.97,258000000,260600000,https://www.sec.gov/Archives/edgar/data/875320/000087532023000031/0000875320-23-000031-index.htm,https://www.sec.gov/Archives/edgar/data/875320/000087532023000031/vrtx-20230930.htm,9.625968992248062,4.0127906976744185,4.916279069767442,4.7589147286821705,89.29612403100775,64.0031007751938,57.44651162790698,64.0031007751938,2.928682170542636,89716920000.0,79351420000.0,21.664474065488264,36.12519428226294,70.73235572374645,73.0712819677472,5.433174264812752,5.433174264812752,31.951447553855445,64.39816588216199,62.56024913276569,64.62894608242385,0.0115396293140691,0.013685266948531,0.0450983479482583,0.0342765877143725,-8.412189579613699,4.082847141190198,95.23853211009174,1.225152129817444,0.0,0.0,0.0,0.3261526072075699,0.0778599110751074,0.032008830022075,0.0163478961143547,0.9643705463182898,0.0527078719549023,76.01775165573407,0.05028017626487,0.0516756012099068,74.89680232558139,11096400000.0,14821200000.0,9482400000.0,14222500000.0,1547450000.0,369450000.0,646100000.0,55.76122407892088,106.1531220583621,194.48697834954504,1.6140248261519463,0.8478318701782389,0.4627559169449687,0.0626968170146795,0.1573643410852713,2023-11-06,3.97,amc,2498240000.0,2025-04-25,2023-09-30,0.0277078085642317,349.7338888888889,970906.4285714284
2023-06-30,VRTX,USD,875320,2023-08-02,2023-08-02 16:05:15,2023,Q2,2493200000.0,308600000.0,2184600000.0,0.8762233275,785700000,0.0,0.0,262600000.0,1600000.0,1048300000.0,1356900000.0,144700000.0,11200000.0,41400000.0,1214100000.0,0.4869645436,1026400000.0,0.411679769,135100000.0,1161500000.0,0.4658671587,245800000.0,915700000.0,0.3672789989,3.55,3.52,257700000,260399999,https://www.sec.gov/Archives/edgar/data/875320/000087532023000021/0000875320-23-000021-index.htm,https://www.sec.gov/Archives/edgar/data/875320/000087532023000021/vrtx-20230630.htm,9.674815677143966,3.5533566162204115,4.402017850213427,4.170741171905316,82.99340318199457,60.03181994567326,53.46759798214978,60.03181994567326,3.0221187427240976,90687207000.0,81303707000.0,24.758984110516543,36.37381958928285,79.94288346262341,84.37589039821363,5.862057827306693,5.862057827306693,32.61018249639018,66.96623589490157,71.67110983779972,75.64542891700782,0.0100973448217453,0.0118517267821469,0.0496179752039404,0.0377213846244569,-7.728770282513796,4.138569851734734,91.64285714285714,1.238833679152561,0.0,0.0,0.0,0.3151371731108615,0.0831285750791185,0.0525387870239774,0.0239050216589122,1.4396135265700485,0.0478501524145676,69.27896833255738,0.0476075479924175,0.0490791956092959,69.7605743112146,10520800000.0,13778600000.0,8993900000.0,13659100000.0,1552000000.0,343100000.0,569300000.0,56.1759987165089,105.8651976668827,176.0045366169799,1.6021076982393008,0.8501377410468319,0.5113504556752279,0.0591912192473271,0.2312766783081102,2023-08-01,3.88,amc,2419410000.0,2025-04-25,2023-06-30,0.0025773195876289,336.93548387096774,1239329.9677419355
2023-03-31,VRTX,USD,875320,2023-05-02,2023-05-02 16:07:33,2023,Q1,2374800000.0,266900000.0,2107900000.0,0.8876115883,742600000,0.0,0.0,241100000.0,345200000.0,1328900000.0,1595800000.0,122600000.0,11400000.0,38800000.0,1163000000.0,0.4897254506,779000000.0,0.3280276234,112500000.0,891500000.0,0.3754000337,191700000.0,699800000.0,0.2946774465,2.72,2.69,257400000,260300000,https://www.sec.gov/Archives/edgar/data/875320/000087532023000012/0000875320-23-000012-index.htm,https://www.sec.gov/Archives/edgar/data/875320/000087532023000012/vrtx-20230331.htm,9.226107226107226,2.7187257187257186,3.496114996114996,3.3325563325563325,40.45881895881896,56.06954156954157,49.497668997669,56.06954156954157,3.1103341103341102,81099018000.0,72598318000.0,28.9722127750786,34.14983072258717,90.12003333703744,94.5430380041968,5.619271910922029,5.619271910922029,30.57028718207849,62.42331728288908,80.67376152905878,84.63315224994172,0.0086289577513749,0.0105771934254493,0.0546828987756629,0.0415933214575581,-7.309286328460877,4.284482188883748,68.33333333333333,1.2859388396684768,0.0,0.0,0.0,0.3127000168435236,0.0891526388464335,0.0467829758862095,0.0177278086575711,1.0850515463917525,0.0515411824153612,58.56490720389773,0.0383427997413354,0.0404915927001724,28.362859362859364,9939500000.0,12740700000.0,8423800000.0,13079100000.0,1495000000.0,313550000.0,497850000.0,58.65841334007074,108.9846384413638,180.4383664293743,1.534306757979067,0.8258044554455446,0.4987852737806018,0.0484884599128344,0.1635586635586635,2023-05-01,3.0,amc,2336930000.0,2025-04-25,2023-03-31,0.0166666666666666,299.9283870967742,1280807.8064516129
2022-12-31,VRTX,USD,875320,2023-02-10,2023-02-10 16:12:03,2022,Q4,2302700000.0,283300000.0,2019400000.0,0.8769705129,694100000,0.0,0.0,267400000.0,24400000.0,985900000.0,1269200000.0,86000000.0,11600000.0,38400000.0,1096300000.0,0.4760932818,1033500000.0,0.4488209493,43300000.0,1076800000.0,0.467624962,257900000.0,818900000.0,0.3556260043,3.19,3.15,256900000,260300000,https://www.sec.gov/Archives/edgar/data/875320/000087532023000007/0000875320-23-000007-index.htm,https://www.sec.gov/Archives/edgar/data/875320/000087532023000007/vrtx-20221231.htm,8.96340988711561,3.187621642662515,4.197742312183729,4.066952121448034,41.95601401323472,54.15609186453873,47.57142857142857,54.15609186453873,3.5472946671856755,74187582000.0,64583282000.0,22.64854744169007,32.21764971555131,68.7941227744807,71.00649119448698,5.332364098988693,5.332364098988693,28.046763364745733,58.91022712761106,59.888058234421365,61.8140141653905,0.0110382354825906,0.0140832194800472,0.0646675339797451,0.0495677900269408,-8.760649457265346,4.826519820575472,89.09482758620689,1.316888508975455,0.0,0.0,0.0,0.3014287575454901,0.0931964806152862,0.0311572700296735,0.0145915664220263,0.875,0.048421418334998,62.32299283941696,0.050713670449157,0.0497530271639741,30.565395095367847,10492700000.0,12221100000.0,8996600000.0,13640100000.0,1413700000.0,215400000.0,424400000.0,56.367742215659874,96.54429932933286,146.3254500529474,1.5966578837886565,0.9322145442579796,0.6150673035171516,0.0588598906035492,0.1307901907356948,2023-02-07,3.51,amc,2304798374.0,2025-04-25,2022-12-31,0.0712250712250712,304.7704761904762,1439759.761904762
