date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare,report_date,epsEstimated,time,revenueEstimated,updatedFromDate,fiscalDateEnding,surprise(%),QuarterAvgPrice,QuarterAvgVolume
2025-03-31,VTR,USD,740260,2025-05-01,2025-05-01 16:27:33,2025,Q1,1358074000.0,785709000.0,572365000.0,0.4214534701,0,0.0,0.0,53149000.0,321525000.0,374674000.0,1160383000.0,0.0,149356000.0,328888000.0,516043000.0,0.3799815032,197691000.0,0.1455671782,-159892000.0,37799000.0,0.0278327985,-10557000.0,46868000.0,0.0345106379,0.1065348884256849,0.1049853950504453,439931000,446424000,https://www.sec.gov/Archives/edgar/data/740260/000074026025000155/0000740260-25-000155-index.htm,https://www.sec.gov/Archives/edgar/data/740260/000074026025000155/vtr-20250331.htm,3.0870159184053865,2.273083733585494e-07,0.72998720253858,0.5960889321279929,0.414462722563311,26.1998267910195,23.797906944498116,26.07126344813164,0.0,30249655560.000004,30067320560.000004,75624138.9,22.273937620483128,94.19343210522382,115.35191528306348,2.6373865668918164,2.6373865668918164,22.139677631704902,58.26514565646662,93.62566499763348,114.65661178013866,3.305822765540276e-09,0.0086691235038975,0.0,0.0,-0.3533329586875512,0.0,0.0,6.641244106212259,0.006544502617801,1979689.5,0.0391355699321244,0.0,0.0405910811935712,0.1834255038238298,0.0433746614691099,0.1791065651528788,0.0138630148283525,0.0115472884665809,0.0097150379105499,4.003905249023688e-09,-32.55929679881618,782887000.0,10469437000.0,-13723292000.0,1839566000.0,187838000.0,576153000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.71873255436108e-09,0.1338982704105871,2025-04-30,0.82,amc,1315345580.0,2025-05-11,2025-03-31,0.024390243902439,63.842083333333335,2965544.3
2024-12-31,VTR,USD,740260,2025-02-13,2025-02-13 16:37:17,2024,Q4,1287057000.0,741057000.0,546000000.0,0.4242236358,0,41434000.0,0.0,41434000.0,308772000.0,350206000.0,1091263000.0,0.0,153206000.0,290372000.0,465711000.0,0.3618417832,195794000.0,0.1521253526,-182606000.0,13188000.0,0.0102466324,-45539000.0,56835000.0,0.0441588834,0.13,0.13,421496000,427612000,https://www.sec.gov/Archives/edgar/data/740260/000074026025000052/0000740260-25-000052-index.htm,https://www.sec.gov/Archives/edgar/data/740260/000074026025000052/vtr-20241231.htm,3.053544992123294,0.1348411372824416,0.8864639284833071,0.4825526220889403,2.130150701311519,25.69323552299429,23.186858238275097,25.5548498680889,32.96296999259779,24821899440.0,37664603440.0,109.18403906043812,19.285781002706173,66.4324831589681,122.0385037906723,2.304454939237882,2.304454939237882,29.26413005795392,80.87548595588251,100.80425713452216,185.1805040463337,0.0022897119592875,0.0081941352027328,1.2756673843476352,0.5247108612220168,27.576552840710225,1.0358376239869893,1.2779786692427189,6.362337595995028,0.0076125117038988,3.324659100906132,0.0321928244048243,0.0,0.040341841071259,0.4556432511421391,0.1322761928958857,0.5377896692021935,0.0036105627023511,8.805198063311302,0.0350315237019396,0.0022615964567009,-33.63662525860269,46760000.0,9773168000.0,-14005776000.0,1103188000.0,373732000.0,1150529000.0,0.0,26.26988548292733,139.9454292989608,0.0,3.4259761070709867,0.6431078203185612,0.0,0.0052765380340121,0.4039113063943667,2025-02-12,-0.02,amc,1254130970.0,2025-05-11,2024-12-31,-41.5,62.83890625,2602751.375
2024-09-30,VTR,USD,740260,2024-10-31,2024-10-31 16:04:02,2024,Q3,1236315000.0,714961000.0,521354000.0,0.4216999713,0,35092000.0,0.0,35092000.0,0.0,521354000.0,1040900000.0,0.0,150437000.0,286968000.0,482383000.0,0.3901780695,195415000.0,0.1580624679,-171417000.0,23998000.0,0.0194109106,3002000.0,19243000.0,0.0155648035,0.0464,0.0459,414599000,419474000,https://www.sec.gov/Archives/edgar/data/740260/000074026024000248/0000740260-24-000248-index.htm,https://www.sec.gov/Archives/edgar/data/740260/000074026024000248/vtr-20240930.htm,2.981953646776765,0.0464135224638747,0.8530266594950784,0.4987976333758644,2.66458192132639,24.50166546470204,21.96690778318327,23.53863371595204,33.85137928456171,26588233870.0,39367811870.0,345.4273485163436,21.506035169030547,75.17936196502895,128.56917456878836,2.724457195514256,2.724457195514256,31.842865184034817,81.611109574757,111.3141622274249,190.36567458571284,0.0007237411892074,0.0077779141334143,1.4227049150259234,0.5477653163039105,26.492596132119083,1.244922899883121,1.2989822982378003,15.52724239364271,0.0070033233839611,9.676557709296889,0.0283843518844307,0.0,0.0414605343416976,0.4152613780311255,0.1187909230252807,0.4710725775669339,0.0034521946267739,4.957972908028626,0.0070857967726719,0.000792014218143,-33.29783477528889,312443000.0,9107458000.0,-13600701000.0,1363351000.0,285228000.0,1075915000.0,0.0,27.065044102837867,144.60604144841466,0.0,3.325322495615781,0.6223806356811566,0.0,0.0019718018906263,0.354229026119214,2024-10-30,0.8,amc,1231740000.0,2024-11-08,2024-09-30,0.0,58.38546875,2546105.90625
2024-06-30,VTR,USD,740260,2024-08-02,2024-08-02 16:17:37,2024,Q2,1200980000.0,976749000.0,224231000.0,0.1867066895,0,37727000.0,0.0,37727000.0,-8165000.0,377533000.0,1022562000.0,0.0,149259000.0,294948000.0,473366000.0,0.3941497777,178418000.0,0.1485603424,-446083000.0,28934000.0,0.0240919915,7766000.0,19387000.0,0.0161426502,0.0475,0.0471,408097000,411823000,https://www.sec.gov/Archives/edgar/data/740260/000074026024000200/0000740260-24-000200-index.htm,https://www.sec.gov/Archives/edgar/data/740260/000074026024000200/vtr-20240630.htm,2.942878776369344,0.0475058625767893,0.8230200172998087,0.6453147168442797,-2.003658443948375,24.452970739799607,21.879504137496724,23.571234289886963,33.35897592974219,20763975360.0,33613130360.0,267.7564264713468,17.28919329214475,61.821096608231706,78.84524972375272,2.158563245957368,2.158563245957368,27.988085030558377,71.0087550859166,100.0772031011814,127.63623589809798,0.0009336844059903,0.0126830722650212,1.399724409653459,0.5488916960375706,27.14422877857725,0.8141771495174962,1.1953584038483442,17.324598958064684,0.0087800624321295,9.40367256408934,0.0314135122982897,0.0,0.0428134608934959,0.215918564214939,0.060384852370564,0.2458772393777886,0.0048227281053806,5.019448762679542,0.0055275813456116,0.0008256812551786,-37.29439569514111,-210604000.0,8928960000.0,-13628290000.0,1365542000.0,227053000.0,1011692500.0,364863000.0,14.887941514429883,92.4260173289146,0.0,6.045160770733082,0.9737517919842724,0.0,0.0020154168420943,0.1777053004555289,2024-08-01,0.79,amc,1194550000.0,2025-04-22,2024-06-30,0.0126582278481012,46.83,2212099.206349206
2024-03-31,VTR,USD,740260,2024-05-02,2024-05-02 16:22:39,2024,Q1,1199914000.0,989505000.0,210409000.0,0.1753534003,0,48737000.0,0.0,48737000.0,-63049000.0,63049000.0,1052554000.0,0.0,149933000.0,294855000.0,447615000.0,0.3730392345,147360000.0,0.1228088013,-162904000.0,-15544000.0,-0.0129542617,-3004000.0,-14312000.0,-0.0119275215,-0.0355,-0.0351,403365000,407227000,https://www.sec.gov/Archives/edgar/data/740260/000074026024000139/0000740260-24-000139-index.htm,https://www.sec.gov/Archives/edgar/data/740260/000074026024000139/vtr-20240331.htm,2.974759832905681,-0.0354815117821328,0.6605630136476888,0.3280502770443643,1.706665179180147,24.15647614443494,21.5523508484871,23.310996244096536,34.47826162408737,17288223900.0,30357205900.0,-301.98825985187256,14.407885815150086,64.88404454152405,130.65070508751248,1.8386172581900788,1.8386172581900788,25.299484713071102,67.81990304167644,113.93294714165616,229.41572125993773,-0.0008278467517996,0.0076539961979553,1.4631101879857575,0.5575982590556174,29.196925929649364,0.8498097088182625,0.9828390014206344,-21.247846889952157,0.0105767949939611,-12.776271660145332,0.0406170775572249,0.0,0.042574094178859,0.5033777697712124,0.1117780107574376,0.4361004444762366,0.0135709725863686,,0.0050559246408691,-0.000605871441209,-33.92425842599135,-174112000.0,8693464000.0,-13943545000.0,22427107000.0,224773000.0,1030961500.0,364863000.0,19.1592230776539,92.80158260948656,66.37191322934194,4.6974764913599385,0.9698110470672062,1.3559952639757935,-0.0015220933249954,0.3325127366033245,2024-05-01,0.74,amc,1180150000.0,2025-04-22,2024-03-31,0.0540540540540541,45.42377049180328,2478169.0655737706
2023-12-31,VTR,USD,740260,2024-02-15,2024-02-15 17:22:31,2023,Q4,1164392000.0,1835267000.0,-670875000.0,-0.5761590598,0,36382000.0,0.0,36382000.0,-14071000.0,14071000.0,1849338000.0,148968000.0,134453000.0,1165861000.0,480915000.0,0.4130181245,-684946000.0,-0.5882434781,178060000.0,-922003000.0,-0.7918321321,4698000.0,-90819000.0,-0.0779969289,-0.23,-0.22,402995000,406977000,https://www.sec.gov/Archives/edgar/data/740260/000074026024000067/0000740260-24-000067-index.htm,https://www.sec.gov/Archives/edgar/data/740260/000074026024000067/vtr-20231231.htm,2.8893460216628,-0.225360116130473,0.6925247211503864,0.446749959676919,1.3981860817131726,24.434648072556733,18.23381183389372,23.54386034566185,34.49682502264296,20085270800.0,33289403800.0,-55.289286382805365,17.249578148939534,71.96854997061817,111.56128595074374,2.1169000864033505,2.1169000864033505,28.58951607362469,69.22097210525769,119.28094695503864,184.90209733500703,-0.0045216716719597,0.0089636829790714,1.451044565705648,0.5568191667260185,27.456271898360416,0.7343487263463107,-5.09431548570876,-3.072969312588776,0.00902766020959,-1.9965315627787137,0.031245491209146,0.0,0.1010662179303391,0.3548967335999197,0.0850624188417646,0.084955239089394,0.004885811651059,,-0.0277270881341485,-0.0040860634682152,-35.16011116763235,-314071000.0,7348135000.0,-14010195000.0,23646600000.0,219327500.0,1065822000.0,392441500.0,15.003297858453168,51.08000089360294,0.0,5.9986811465781935,1.7619420208598946,0.0,-0.0095719271530591,0.2457747614734674,2024-02-14,0.76,amc,1149950000.0,2025-04-22,2023-12-31,0.0,44.78904761904762,2130590.587301587
2023-09-30,VTR,USD,740260,2023-11-03,2023-11-03 15:52:07,2023,Q3,1149832000.0,12655000.0,1137177000.0,0.9889940443,0,33297000.0,0.0,33297000.0,-9432000.0,403608000.0,12655000.0,145165000.0,147919000.0,297677000.0,449220000.0,0.3906831607,-12655000.0,-0.0110059557,-222764000.0,-71221000.0,-0.061940353,-1662000.0,-71124000.0,-0.0618559929,-0.18,-0.18,402859000,402859000,https://www.sec.gov/Archives/edgar/data/740260/000074026023000188/0000740260-23-000188-index.htm,https://www.sec.gov/Archives/edgar/data/740260/000074026023000188/vtr-20230930.htm,2.8541797502351938,-0.1765481222958901,0.895635942103813,0.7365281649410836,1.077143616004607,25.16883822875993,22.57603032326447,24.36971496230691,34.09153823049752,16972449670.000002,30124676670.0,-59.657955366683545,14.760808248509347,47.03920200102546,57.20079965084576,1.7287850951545085,1.7287850951545085,26.19919837854573,67.059963202885,83.49064387567036,101.52662863941062,-0.004190555952905,0.0174822730819151,1.3838637486161276,0.5441733797329065,29.27791950491964,0.4632490156905066,-0.0855535799998647,-5.073041448737416,0.0106368263574294,-2.5382852482987457,0.0289581434505214,0.0,0.0418373195975472,0.1776478250627052,0.0557455349998956,0.215327351458124,0.0042693193440433,,-0.0005185396827173,-0.0029731537062026,-34.298171941051336,-652051000.0,9094957000.0,-14264356000.0,907520000.0,245189500.0,1079809000.0,392441500.5,19.141257157567367,7752.075859344132,5581.941525088897,4.701885527117486,0.0116097935098914,0.0161234222170692,-0.0072445706717932,0.1591077771627294,2023-11-02,0.74,amc,1118690000.0,2025-04-22,2023-09-30,0.0135135135135135,45.049523809523805,2136828.285714286
2023-06-30,VTR,USD,740260,2023-08-04,2023-08-04 15:15:14,2023,Q2,1106358000.0,624254000.0,482104000.0,0.4357576842,0,34399000.0,0.0,34399000.0,47086000.0,327023000.0,951277000.0,142233000.0,143265000.0,293989000.0,477729000.0,0.431803268,105066000.0,0.094965644,-361199000.0,95293000.0,0.0861321561,-9773000.0,103453000.0,0.0935077073,0.26,0.26,400431000,404122000,https://www.sec.gov/Archives/edgar/data/740260/000074026023000159/0000740260-23-000159-index.htm,https://www.sec.gov/Archives/edgar/data/740260/000074026023000159/vtr-20230630.htm,2.762917955902515,0.258354123432002,0.7787284201273128,0.4580139899258549,0.3462469189448369,25.722571429284944,23.11251626372584,24.89413157322985,34.210570610167544,18928373370.0,32345433370.0,45.74148011657468,17.108723731378088,60.70152158087658,103.2064544745724,1.898841092767111,1.898841092767111,29.23595560388229,67.70665664006162,103.72877707831586,176.36261876850432,0.0054654986975249,0.0096893164782283,1.3598704383519813,0.540695728770714,28.085085895978683,0.2186070290558718,0.733368233692807,2.967915405554604,0.0095243789033521,1.742636752921617,0.031092105810235,0.0,0.041687716999918,0.4118437466928777,0.1160781591492084,0.4149348635235732,0.0048167049002221,12.029496443204147,0.0048498533414045,0.0043059280441809,-36.0804358291441,-926214000.0,9254968000.0,-14511624000.0,641245000.0,373418000.0,1038513500.0,228036500.5,19.99793918424235,154.20501911081067,1.4417208379922274e-07,4.500463731328712,0.583638590487944,624254000.0,0.0103781135193254,0.3207144302014579,2023-08-03,0.74,amc,1093520000.0,2025-04-22,2023-06-30,0.0135135135135135,45.32322580645161,2405746.580645161
2023-03-31,VTR,USD,740260,2023-05-09,2023-05-09 15:09:39,2023,Q1,1077245000.0,609637000.0,467608000.0,0.4340776704,0,44798000.0,0.0,44798000.0,274055000.0,318853000.0,928490000.0,126332000.0,128075000.0,273519000.0,423112000.0,0.3927723034,135370000.0,0.12566315,-132645000.0,16110000.0,0.0149548153,-2802000.0,17517000.0,0.0162609249,0.0438,0.0434,399989000,403792000,https://www.sec.gov/Archives/edgar/data/740260/000074026023000106/0000740260-23-000106-index.htm,https://www.sec.gov/Archives/edgar/data/740260/000074026023000106/vtr-20230331.htm,2.6931865626304723,0.0437937043268689,0.6070591941278385,0.3254114488148424,0.3634024935685731,25.811929828070276,20.88449754868259,24.99316481203233,31.6521004327619,17339523150.0,29726583150.0,247.46707698236003,16.096174175791024,71.40984012651504,133.21596445940028,1.7344742182922843,1.7344742182922843,27.59500684616777,70.25700795534043,122.42381361272068,228.38318044575564,0.00101023539393,0.0075066078157979,1.253618913931202,0.5223109632307318,29.276078201516384,0.6482026285697744,1.0569588131953933,12.839308375634518,0.0104629174880163,10.356910429868128,0.0415857116997526,0.0,0.0821415733189831,0.4639543359814181,0.1045778815404109,0.3935264590094071,0.0139801066609731,4.962582349376595,0.0068907503152529,0.00079538671925,-32.30222206110668,-388874000.0,8353569290.0,-12953162000.0,2081068710.0,519039500.0,1019563000.0,453714000.0,41.857107714586746,148.72675050890942,67.32952560294078,2.1501724537129445,0.605136599112401,1.3367092548780568,0.001752227245178,0.2816477453129961,2023-05-08,0.7,amc,1077240000.0,2025-04-22,2023-03-31,0.0571428571428572,48.200161290322576,2156084.016129032
2022-12-31,VTR,USD,740260,2023-02-10,2023-02-10 17:04:45,2022,Q4,1051425000.0,591539000.0,459886000.0,0.4373930618,0,76538000.0,-42998000.0,33540000.0,344114000.0,377654000.0,969193000.0,121955000.0,123399000.0,1089998000.0,378230000.0,0.3597308415,85898000.0,0.0816967449,-128235000.0,-46003000.0,-0.0437530019,-2619000.0,-43384000.0,-0.0412620967,-0.11,-0.11,399655000,399655000,https://www.sec.gov/Archives/edgar/data/740260/000074026023000070/0000740260-23-000070-index.htm,https://www.sec.gov/Archives/edgar/data/740260/000074026023000070/vtr-20221231.htm,2.630831592248314,-0.1085536275037219,0.6687092617382493,0.2375373759867886,1.650521074426693,25.57625201736498,19.59458032553077,25.404331235690783,32.625261788292406,18004457750.0,30797343750.0,-103.75056328369904,17.123863090567564,67.3685898755112,189.65436413049204,1.773319658842616,1.773319658842616,29.29105143020187,81.42491010760648,115.236662450936,324.41136117050974,-0.0024096254717807,0.0052727497444348,1.2720861525417986,0.5346276819450746,33.823033603891815,0.6552606677153674,0.6960996442434704,-6.1601742577908905,0.0100038558506434,-4.151622718052739,0.0727945407423258,0.0,0.0989577296645726,0.644782284950964,0.1638918610457236,0.5259238460317655,0.0018346529709679,,0.0034898949604786,-0.0019930873167859,-31.64739650448512,-396010000.0,7831072000.0,-13183450000.0,2304902000.0,636450000.0,999901500.0,225677500.0,45.97260860261074,156.96684411340587,68.67163449916235,1.957687473816506,0.5733694941014201,1.3105847946738156,-0.0042730362195566,0.4311718857514606,2023-02-09,0.72,amc,1041771396.0,2025-04-22,2022-12-31,0.0138888888888889,42.1731746031746,2336383.476190476
