date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare,report_date,epsEstimated,time,revenueEstimated,updatedFromDate,fiscalDateEnding,surprise(%),QuarterAvgPrice,QuarterAvgVolume
2024-12-31,VTRS,USD,1792044,2025-04-30,2025-04-30 16:30:42,2024,Q4,3528100000.0,2313100000.0,1215000000.0,0.3443779938,214300000,0.0,0.0,1046700000.0,133800000.0,1394800000.0,4064100000.0,0.0,120200000.0,746200000.0,342200000.0,0.0969927156,-179800000.0,-0.0509622743,-346700000.0,-526500000.0,-0.149230464,-10000000.0,-516500000.0,-0.1463960772,-0.43,-0.43,1193300000,1193300000,https://www.sec.gov/Archives/edgar/data/1792044/000114036125016679/0001140361-25-016679-index.htm,https://www.sec.gov/Archives/edgar/data/1792044/000114036125016679/ny20042022x3_10ka.htm,2.956590966228107,-0.4328333193664627,0.404508505824185,0.2759574289784631,0.9133495349032096,15.616777004944272,-6.342663202882762,15.616777004944272,12.089248303025224,14856585000.0,28427685000.0,-7.190989835430784,4.21093081261869,30.77809198259789,45.11565441846341,0.7972195540768963,0.7972195540768963,8.057505456194553,83.07330508474577,58.89307022995649,86.32761919222594,-0.0347657284631697,0.0221652553396355,0.7676692334522819,0.3447130062239614,39.65838690824079,1.6473509360833305,-1.4958402662229615,-0.9345595353339788,0.0096455544797138,-0.2774443368828654,0.0,0.0607409087044018,0.6314128127341817,0.3177957323389269,0.0434794932116436,0.205574912891986,0.0091550693007567,,-0.0049256893550166,-0.033765452679336,-14.41963462666555,3741300000.0,-7568700000.0,-13344700000.0,29945500000.0,3733450000.0,1298750000.0,3969350000.0,89.84439216575494,52.733128701742245,149.9584972547663,1.001731970471323,1.7067070021397477,0.60016605692639,-0.0277159185425666,0.1285510768457219,2025-02-27,0.61,bmo,3600014022.0,2025-05-11,2024-12-31,-0.1147540983606556,12.29015625,7458715.5
2024-09-30,VTRS,USD,1792044,2024-11-07,2024-11-07 16:11:32,2024,Q3,3738000000.0,2278800000.0,1459200000.0,0.3903691814,198400000,0.0,0.0,1003400000.0,31500000.0,1233300000.0,3512100000.0,0.0,145600000.0,669700000.0,905800000.0,0.2423220974,225900000.0,0.0604333868,-135400000.0,90500000.0,0.0242108079,-4300000.0,94800000.0,0.0253611557,0.0794,0.079,1193500000,1200400000,https://www.sec.gov/Archives/edgar/data/1792044/000179204424000033/0001792044-24-000033-index.htm,https://www.sec.gov/Archives/edgar/data/1792044/000179204424000033/vtrs-20240930.htm,3.131964809384164,0.0794302471721826,0.692501047339757,0.6288227901131127,1.7157100963552576,16.58349392542941,-6.491998324256389,16.58349392542941,14.88479262672811,13856535000.0,29597235000.0,36.54149525316456,3.706938202247191,16.765317604355715,18.46307128580946,0.7000937228431114,0.7000937228431114,7.917933386837881,32.675242879222786,35.81032667876588,39.43668887408394,0.0068415372241328,0.0541621696910519,0.8902103837836746,0.3936935386925443,17.377677191432987,1.505204728182738,1.551510989010989,8.718354430379748,0.0103344739503779,1.510548523206751,0.0,0.0530765115034777,0.6153760214147977,0.0919540229885057,0.0203317281968967,0.1134836493952516,0.0086677367576243,5.444051614670187,0.0061164381338382,0.0055073053126906,-15.008818600754084,3795300000.0,-7748200000.0,-13654000000.0,34012800000.0,3903700000.0,1371200000.0,4013350000.0,94.98154093097912,49.06003159557662,161.31911532385465,0.9475525361859616,1.8344872001288035,0.5579004064045439,0.0047897172652129,0.0636782572266443,2024-11-07,0.677,bmo,3715426285.0,2025-04-25,2024-09-30,0.1078286558345641,11.536875,8735935.96875
2024-06-30,VTRS,USD,1792044,2024-08-08,2024-08-08 16:04:41,2024,Q2,3796600000.0,2303500000.0,1493100000.0,0.3932729284,196300000,0.0,0.0,928900000.0,607800000.0,1733000000.0,4036500000.0,0.0,145800000.0,786300000.0,541300000.0,0.1425749355,-239900000.0,-0.0631881157,-151900000.0,-391800000.0,-0.1031975979,65400000.0,-326400000.0,-0.0859716589,-0.27,-0.27,1191101769,1191100000,https://www.sec.gov/Archives/edgar/data/1792044/000179204424000025/0001792044-24-000025-index.htm,https://www.sec.gov/Archives/edgar/data/1792044/000179204424000025/vtrs-20240630.htm,3.187469029776917,-0.2740320000313928,0.3182767500364614,0.2689106912072767,0.8462752942145954,16.38818823717153,-6.90528736843812,16.38818823717153,14.471559398716668,12613767733.71,28787867733.71,-9.661280433295037,3.322385221964389,33.272929922738065,39.38110438248517,0.6461971175056352,0.6461971175056352,7.582539043804983,53.182833426399405,75.93739840071221,89.87782620577583,-0.025876487255089,0.0253928886881281,0.875578893442623,0.3770416942422236,29.88010345464622,1.529613967726872,-1.6454046639231823,-1.1614583333333333,0.0115350149988218,-0.4457720588235294,0.0,0.0517041563504187,0.6120648577101258,0.1551041941440253,0.0154875414844861,0.0747806180847004,0.0091397566243481,,-0.0069865099603145,-0.018561168261767,-16.735828557064295,4082900000.0,-8224900000.0,-14017900000.0,34763800000.0,3902600000.0,1542100000.0,3882650000.0,91.56218722014434,58.61428261341437,154.02170609941393,0.9829385113268608,1.5354619384082122,0.584333223408843,-0.0167213114754098,0.0493660588291847,2024-08-08,0.678,bmo,3780909000.0,2025-04-25,2024-06-30,0.0176991150442476,11.04888888888889,8138569.603174604
2024-03-31,VTRS,USD,1792044,2024-05-09,2024-05-09 16:03:24,2024,Q1,3663400000.0,2159400000.0,1504000000.0,0.4105475788,199700000,0.0,0.0,1017500000.0,228200000.0,1217200000.0,3376600000.0,0.0,138400000.0,691000000.0,1131600000.0,0.3088933777,203900000.0,0.0556586777,700000.0,204600000.0,0.0558497571,90700000.0,113900000.0,0.0310913359,0.1,0.09,1195200000,1209500000,https://www.sec.gov/Archives/edgar/data/1792044/000179204424000017/0001792044-24-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1792044/000179204424000017/vtrs-20240331.htm,3.065093708165997,0.0952978580990629,0.5142235609103079,0.4717202141900937,0.986194779116466,16.745565595716197,-7.373577643908969,16.745565595716197,15.144410977242302,14270688000.0,31218288000.0,31.32284460052677,3.89547633346072,23.219472827855515,25.311614047534587,0.7130245874199947,0.7130245874199947,8.521670579243326,27.58774125132556,50.79448096322812,55.37120964881163,0.0079813951506752,0.039507555627311,0.8974683101582369,0.3794000046468695,14.976670201484623,1.6654209461462133,1.4732658959537572,5.395961369622476,0.0100065252635331,1.2537313432835822,0.0,0.0545122017797674,0.6088919961895669,0.0826553856166612,0.0138668996014631,0.0735166425470332,0.0127477206966206,5.992150867043072,0.0027308912194901,0.0061512704884832,-17.80628765060241,5163600000.0,-8812900000.0,-14405900000.0,36941100000.0,3991650000.0,1482700000.0,3646450000.0,96.86165856854288,66.01833842734094,159.344262295082,0.9291602201537018,1.3632575757575758,0.5648148148148148,0.0056909309843461,0.0425033467202141,2024-05-09,0.673,bmo,3690962702.0,2025-04-25,2024-03-31,-0.0044576523031203,12.045245901639344,10296057.55737705
2023-12-31,VTRS,USD,1792044,2024-04-26,2024-04-26 16:31:10,2023,Q4,3837300000.0,2240800000.0,1596500000.0,0.4160477419,202800000,0.0,0.0,1605800000.0,873500000.0,1808600000.0,4049400000.0,0.0,140900000.0,644400000.0,-64400000.0,-0.0167826336,-454500000.0,-0.118442655,-400500000.0,-855000000.0,-0.2228129153,-89400000.0,-765600000.0,-0.1995152842,-0.64,-0.64,1200100000,1200100000,https://www.sec.gov/Archives/edgar/data/1792044/000119312524118165/0001193125-24-118165-index.htm,https://www.sec.gov/Archives/edgar/data/1792044/000119312524118165/d758146d10ka.htm,3.1974835430380804,-0.6379468377635197,0.3994667111074077,0.232063994667111,0.9869177568535956,17.054745437880175,-7.150070827431048,17.054745437880175,15.2184817931839,12997083000.0,30127983000.0,-4.244084051724138,3.387038542725354,27.111145181476846,46.66816157989228,0.6350138757243227,0.6350138757243227,7.851349386287233,-467.82582298136646,62.845187734668336,108.17947217235188,-0.0589055251859205,0.0214278850108135,0.8854471012439293,0.3800484423986327,-266.0077639751553,1.6684367526422712,-3.2256919801277504,-0.6261755485893417,0.0110794091258784,-0.1880877742946708,0.0,0.0528496599171292,0.6091621142695368,0.4190654985398415,0.0523545201052823,0.3117628801986344,0.0145414744742397,,-0.0097070739760544,-0.0410789116449271,-17.722189817515208,5198700000.0,-8580800000.0,-14242000000.0,37252100000.0,3889550000.0,1299950000.0,3570800000.0,94.76819638808536,55.48286326312032,139.35781863620136,0.9496856902440232,1.622122484436079,0.6458195233017264,-0.0374058258498881,0.1674027164402966,2024-02-28,0.67,bmo,3869760000.0,2025-04-25,2023-12-31,-0.0895522388059702,9.575396825396826,8961174.746031746
2023-09-30,VTRS,USD,1792044,2023-11-08,2023-11-07 17:47:49,2023,Q3,3941900000.0,2250600000.0,1691300000.0,0.4290570537,211200000,0.0,0.0,1053500000.0,124900000.0,1264700000.0,3515300000.0,0.0,141500000.0,679400000.0,1256300000.0,0.3187041782,451700000.0,0.1145894112,-49500000.0,402200000.0,0.102032015,70600000.0,331600000.0,0.0841218702,0.28,0.27,1199500000,1207600000,https://www.sec.gov/Archives/edgar/data/1792044/000179204423000033/0001792044-23-000033-index.htm,https://www.sec.gov/Archives/edgar/data/1792044/000179204423000033/vtrs-20230930.htm,3.2862859524802,0.276448520216757,0.6868695289704043,0.610254272613589,1.304293455606503,17.395248020008335,-8.914547728220091,17.395248020008335,15.4374322634431,11827070000.0,28893170000.0,8.916669179734619,3.000347548136685,14.354982400776793,16.15719945355191,0.5668214669120466,0.5668214669120466,7.329757223673863,22.99862294038048,35.06878261924991,39.47154371584699,0.0280373752755331,0.0618919140581733,0.8806696188942565,0.3769946617537841,13.58441455066465,1.5996488147497805,3.192226148409894,2.4846200241254524,0.012167003323731,0.433956574185766,0.0,0.0535782236992313,0.6474541776597884,0.1115426629445321,0.0233136304827621,0.1352664115395937,0.010933813643167,10.401924721585544,0.0086015511731839,0.0192970204841713,-18.068090871196333,4098000000.0,-10693000000.0,-16945000000.0,38830900000.0,3672900000.0,1264050000.0,3656700000.0,85.35604657652401,48.72700613169821,146.83684350839775,1.0544068476661763,1.847025030775544,0.6129251885944607,0.0158921861820412,0.0766152563568153,2023-11-07,0.74,amc,3866760000.0,2025-04-25,2023-09-30,0.0540540540540541,10.412698412698411,8392626.825396825
2023-06-30,VTRS,USD,1792044,2023-08-07,2023-08-07 16:18:13,2023,Q2,3918600000.0,2310000000.0,1608600000.0,0.4105037513,208300000,0.0,0.0,1031900000.0,167000000.0,1240200000.0,3550200000.0,0.0,143700000.0,686700000.0,1233500000.0,0.3147807891,369200000.0,0.0942173225,-36200000.0,333000000.0,0.0849793294,69000000.0,264000000.0,0.0673709998,0.22,0.22,1199000000,1203500000,https://www.sec.gov/Archives/edgar/data/1792044/000179204423000024/0001792044-23-000024-index.htm,https://www.sec.gov/Archives/edgar/data/1792044/000179204423000024/vtrs-20230630.htm,3.2682235195996663,0.2201834862385321,0.4379482902418682,0.3552126772310258,0.6722268557130943,17.383903252710592,-9.81951626355296,17.383903252710592,15.63577981651376,11966020000.0,29940420000.0,11.331458333333334,3.0536467105598937,22.78807846124548,28.09584409485795,0.5740943132805266,0.5740943132805266,7.640591027407748,24.27273611674098,57.01851075985527,70.29917821084761,0.0220624735709952,0.0355924526283593,0.8925458060863682,0.3820417618163597,14.571868666396432,1.4988197063061406,2.569241475295755,1.9890151515151515,0.0120257194957053,0.5450757575757575,0.0,0.0531567396519165,0.6698175590201909,0.1889163968767853,0.0253151635788291,0.1444590068443279,0.0100035727045373,9.2801987860628,0.0067124353372647,0.016419646355647,-18.782047539616347,3254200000.0,-11773600000.0,-18073900000.0,39104700000.0,3552400000.0,1633550000.0,3652900000.0,82.85025264124943,51.02337662337662,141.87662337662337,1.086297230615696,1.7638973732437386,0.634353975010298,0.0126659406140102,0.0827356130108423,2023-08-07,0.71,bmo,3865780000.0,2025-04-25,2023-06-30,0.0563380281690141,9.551935483870968,9653948.20967742
2023-03-31,VTRS,USD,1792044,2023-05-08,2023-05-08 16:04:16,2023,Q1,3729100000.0,2186900000.0,1542200000.0,0.4135582312,182900000,0.0,0.0,958900000.0,123300000.0,1141800000.0,3328700000.0,0.0,147000000.0,730000000.0,1255100000.0,0.3365691454,399800000.0,0.1072108552,-77100000.0,322700000.0,0.0865356252,98000000.0,224700000.0,0.0602558258,0.19,0.19,1202500000,1205600000,https://www.sec.gov/Archives/edgar/data/1792044/000179204423000017/0001792044-23-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1792044/000179204423000017/vtrs-20230331.htm,3.101122661122661,0.1868607068607068,0.8076507276507277,0.7390436590436591,0.5655717255717255,17.403659043659044,-10.267692307692307,17.403659043659044,15.734802494802494,11568050000.0,29835550000.0,12.870549621717846,3.1021023839532327,11.911089373970343,13.016822324744007,0.5527573239551029,0.5527573239551029,8.000737443350943,23.77145247390646,30.720294481054367,33.57212782716327,0.0194241899023603,0.0768236651812535,0.8970847528896831,0.3808891016875566,14.554617161979126,1.5766441282886658,2.719727891156462,4.322207387627948,0.0124307899775675,0.6399643969737427,0.0,0.0490466868681451,0.6750794275535502,0.0849464579901153,0.0221233005282776,0.1130136986301369,0.0114236679091469,8.554025408798445,0.0063312209217853,0.0140302458883324,-19.315530145530147,3522200000.0,-12346900000.0,-18732000000.0,40058600000.0,3370650000.0,1557750000.0,3591900000.0,84.41044756107371,80.55923910558325,150.80113402533266,1.066218727662616,1.117190293742018,0.5968124880604754,0.0107368632304244,0.0686070686070686,2023-05-08,0.69,bmo,3808110000.0,2025-04-25,2023-03-31,0.1304347826086958,11.09016129032258,9401858.58064516
2022-12-31,VTRS,USD,1792044,2023-04-28,2023-04-28 16:35:22,2022,Q4,3876000000.0,2286300000.0,1589700000.0,0.4101393189,219400000,0.0,0.0,913400000.0,658200000.0,1791000000.0,4077300000.0,0.0,147100000.0,696300000.0,1190300000.0,0.3070949432,-201300000.0,-0.0519349845,1670200000.0,1468900000.0,0.3789731682,457700000.0,1011200000.0,0.2608875129,0.83,0.83,1220934584,1221400000,https://www.sec.gov/Archives/edgar/data/1792044/000119312523127172/0001193125-23-127172-index.htm,https://www.sec.gov/Archives/edgar/data/1792044/000119312523127172/d487324d10ka.htm,3.1746172569717297,0.8282180005804471,0.1167957742116018,-0.0090913961693462,1.2060433206632797,17.259155630568983,-9.7962660381156,17.259155630568983,15.899950951016717,13589001919.92,31594801919.92,3.3596227056764243,3.505934447863777,95.29454361795231,-1224.2344072,0.6448751166184993,0.6448751166184993,8.151393684189886,26.543562059917665,221.5624258058906,-2846.378551344144,0.0744131177520617,-0.0008168370322862,0.9142665964322833,0.3851429965095497,15.127110812400236,1.5765023272360736,-1.3684568320870156,0.1410205696202531,0.0107071881259147,0.1438884493670886,0.0,0.0566047471620227,0.6603647980296748,1.0778401122019636,0.0396542827657378,0.2207381875628321,0.0076625386996904,17.933843028789834,-0.0031065948304603,0.0595198154132306,-19.071292029188683,3889200000.0,-11960600000.0,-18314500000.0,40205900000.0,3036800000.0,1027950000.0,3449950000.0,75.32043343653251,45.58456895420549,138.54481039233698,1.1948948763795548,1.9743523316062177,0.6496093195056116,0.0479871679883069,0.1258871703809481,2023-02-27,0.72,bmo,3990452700.0,2025-04-25,2022-12-31,-0.0694444444444443,10.45,9235999.904761905
2022-09-30,VTRS,USD,1792044,2022-11-07,2022-11-07 16:06:44,2022,Q3,4078200000.0,2236000000.0,1842200000.0,0.4517188956,174900000,0.0,0.0,914500000.0,192700000.0,1282100000.0,3518100000.0,0.0,153200000.0,699500000.0,1452300000.0,0.356112991,560100000.0,0.1373400029,-132600000.0,427500000.0,0.1048256584,73200000.0,354300000.0,0.0868765632,0.29,0.29,1221724137,1218100000,https://www.sec.gov/Archives/edgar/data/1792044/000179204422000036/0001792044-22-000036-index.htm,https://www.sec.gov/Archives/edgar/data/1792044/000179204422000036/vtrs-20220930.htm,3.338069435227996,0.2900000002209991,0.7112898678861086,0.6262461195853414,0.5901495911920417,15.701007632625664,-11.365577203129286,15.701007632625664,16.479252058846736,10409089647.24,29742289647.24,7.344827580609652,2.5523735096954536,11.978238949643266,13.604874718651155,0.5426403323501352,0.5426403323501352,7.292994371840518,20.47943926684569,34.22587991627157,38.8737284632597,0.0340375587113848,0.0735030656790306,1.0415799982275329,0.4105801991673277,13.31212559388556,1.6082129604072746,3.656005221932115,2.4527236804967543,0.0139781676333799,0.4106689246401355,0.0,0.0428865676033544,0.6795341802534184,0.1195627157652474,0.0254769260948457,0.1485346676197284,0.0071355009563042,10.121713040832338,0.0106756196361405,0.0227192571835303,-20.419298632552103,3966400000.0,-13885600000.0,-18992500000.0,40337500000.0,3006350000.0,1037150000.0,3496450000.0,62.449610122112695,36.14087656529517,136.06261180679786,1.4411619195702876,2.490255039536697,0.6614601822269554,0.0184701521715331,0.0850437483007671,2022-11-07,0.82,bmo,4135717249.0,2025-04-25,2022-09-30,0.048780487804878,9.84296875,11336000.375
