date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare,report_date,epsEstimated,time,revenueEstimated,updatedFromDate,fiscalDateEnding,surprise(%),QuarterAvgPrice,QuarterAvgVolume
2024-12-31,WEC,USD,783325,2025-02-21,2025-02-21 11:23:27,2024,Q4,2284200000.0,1277500000.0,1006700000.0,0.4407232291,0,0.0,0.0,0.0,415800000.0,415800000.0,1693300000.0,10600000.0,211900000.0,344000000.0,1070100000.0,0.4684791174,590900000.0,0.2586901322,-76700000.0,514200000.0,0.2251116365,61100000.0,453800000.0,0.1986691183,1.43,1.43,317100000,317500000,https://www.sec.gov/Archives/edgar/data/783325/000010781525000103/0000107815-25-000103-index.htm,https://www.sec.gov/Archives/edgar/data/783325/000010781525000103/wec-20241231.htm,7.203405865657522,1.4310942920214444,1.8347524440239675,-0.8344370860927153,0.0309050772626931,40.37180700094607,30.744560075685904,39.184484389782405,64.77105014191108,29820084000.000004,50137284000.0,16.427988100484797,13.054935644864724,51.254871089721554,-112.69873015873016,2.399929499251533,2.399929499251533,21.94960336222747,46.85289599102887,86.17614987968373,-189.4833106575964,0.015217931646336,-0.0088732144416494,1.635923189595506,0.4291728599418958,18.986262966077938,0.6013548400421322,2.7885795186408684,1.2840432575590377,0.0088866282200948,0.5839576906126047,0.0,0.0,0.0644551043848388,1.454795462358199,0.3705454863847299,2.4604651162790696,0.0,35.520776579144105,0.0114772244721307,0.0102413880262872,-103.73044780826238,-1930200000.0,9749100000.0,-31649600000.0,35768000000.0,1422400000.0,938900000.0,801550000.0,65.77226162332545,80.10880626223093,57.290019569471625,1.368357994368897,1.1234719901503825,1.570954254795868,0.0365219630756353,2.6691895301166824,2025-02-04,1.49,bmo,2558346470.0,2025-05-04,2024-12-31,-0.0402684563758389,96.9571875,1866215.640625
2024-09-30,WEC,USD,783325,2024-11-01,2024-11-01 10:48:52,2024,Q3,1863500000.0,1087600000.0,775900000.0,0.4163670512,0,0.0,0.0,0.0,392200000.0,392200000.0,1459800000.0,0.0,204200000.0,340500000.0,814900000.0,0.4372954119,383700000.0,0.2059028709,-113500000.0,270200000.0,0.1449959753,31600000.0,240400000.0,0.1290045613,0.76,0.76,316200000,316500000,https://www.sec.gov/Archives/edgar/data/783325/000010781524000248/0000107815-24-000248-index.htm,https://www.sec.gov/Archives/edgar/data/783325/000010781524000248/wec-20240930.htm,5.893421884882986,0.7602783048703352,2.3055028462998104,-0.2128399746995572,1.0199240986717268,39.18785578747628,29.533206831119543,38.30613535736875,61.71442125237191,30412116000.000004,49399516000.0,31.6265765391015,16.319890528575264,41.71758024691358,-451.8887964338782,2.510824939731185,2.510824939731185,26.508997048564527,60.6203411461529,67.7633964334705,-734.0195542347697,0.0079047442802072,-0.0022129338188766,1.5942257521217926,0.4272432599869459,23.30028224322003,0.6532648276550107,1.8790401567091088,3.075949367088608,0.0086807507902442,1.098169717138103,0.0,0.0,0.067545053267399,1.092318244170096,0.4273141937214918,2.338619676945668,0.0,25.598335536744635,0.00776985146679,0.0057042926938071,-98.69141366223909,-1390200000.0,9338400000.0,-30186100000.0,34515500000.0,1209100000.0,770300000.0,742850000.0,56.77220284411055,61.29367414490622,65.36502390584774,1.5852828583581455,1.4683407587417308,1.3768831497657932,0.0198474290809418,2.518342820999368,2024-10-31,0.7,bmo,1933608162.0,2025-04-25,2024-09-30,0.1714285714285714,88.62265625,2155110.171875
2024-06-30,WEC,USD,783325,2024-07-31,2024-07-31 14:50:49,2024,Q2,1772000000.0,1311900000.0,460100000.0,0.2596501129,0,0.0,0.0,13900000.0,-67500000.0,67500000.0,1379400000.0,0.0,200600000.0,336600000.0,788800000.0,0.4451467269,392600000.0,0.2215575621,-113200000.0,251600000.0,0.141986456,41600000.0,211600000.0,0.1194130926,0.67,0.67,315900000,316200000,https://www.sec.gov/Archives/edgar/data/783325/000010781524000203/0000107815-24-000203-index.htm,https://www.sec.gov/Archives/edgar/data/783325/000010781524000203/wec-20240630.htm,5.609370053814498,0.669832225387781,3.1883507439062995,0.9917695473251028,0.8714783159227604,39.23520101297879,29.571383349161128,38.345362456473566,60.231402342513455,24542271000.0,43093471000.0,28.99606687145557,13.85004006772009,24.36682982525814,78.33473029045643,2.0260598680788884,2.0260598680788884,24.31911455981941,54.63168230223124,42.785416004765686,137.54698691350143,0.0086218589958525,0.0127657297892277,1.5542007545425276,0.4222873702957683,23.518255578093303,0.7400905029212969,1.957128614157528,4.75992438563327,0.0107447269244154,1.246219281663516,0.0,0.0,0.0684757593837899,0.6889396346306592,0.3915914221218962,2.0614973262032086,0.0,24.03979176322493,0.0076189755343962,0.0050951855793726,-96.96921494143716,-907500000.0,9341600000.0,-29603700000.0,34409100000.0,1399850000.0,720400000.0,652200000.0,63.11681715575621,54.87537159844501,47.73382117539447,1.4259274161100828,1.6400800100012505,1.885455590686979,0.0174684024997317,2.1965811965811968,2024-07-31,0.64,bmo,1872736520.0,2025-04-25,2024-06-30,0.046875,81.23222222222222,1992315.9682539685
2024-03-31,WEC,USD,783325,2024-05-03,2024-05-03 11:43:23,2024,Q1,2680200000.0,1736000000.0,944200000.0,0.3522871428,0,0.0,0.0,14700000.0,-75500000.0,75500000.0,1811500000.0,0.0,192000000.0,333400000.0,1235700000.0,0.461047683,868700000.0,0.3241176032,-103100000.0,710300000.0,0.265017536,87700000.0,622600000.0,0.2322960973,1.97,1.97,315600000,315900000,https://www.sec.gov/Archives/edgar/data/783325/000010781524000155/0000107815-24-000155-index.htm,https://www.sec.gov/Archives/edgar/data/783325/000010781524000155/wec-20240331.htm,8.492395437262358,1.9727503168567808,2.681875792141952,1.273447401774398,0.2614068441064638,39.37294043092522,29.69993662864385,38.47623574144487,59.51362484157161,25740336000.0,44248336000.0,10.335823964021843,9.603886277143497,30.41155009451796,64.0466185618313,2.119749981470959,2.119749981470959,16.509341093948212,35.80831593428826,52.2782797731569,110.0978750933068,0.0241877184509168,0.015613626799588,1.5309517339064984,0.4232115864430239,14.977745407461358,0.5530288553411046,4.524479166666667,1.3594603276582076,0.0102368516090854,0.4232251847092836,0.0,0.0,0.0694968038026553,0.5251654064272212,0.1658458324005671,1.333233353329334,0.0,41.32602256005059,0.0179449219518722,0.0152320278707455,-94.8876742712294,-2105100000.0,9373300000.0,-28896500000.0,32677500000.0,1530100000.0,768750000.0,691900000.0,52.2834116856951,33.22638248847927,31.551843317972352,1.7213872832369943,2.70869090341707,2.852448241866579,0.0512719157381558,1.408428390367554,2024-05-01,1.92,bmo,2921371803.0,2025-04-25,2024-03-31,0.0260416666666666,80.41836065573771,2328791.3278688523
2023-12-31,WEC,USD,783325,2024-02-22,2024-02-22 12:19:25,2023,Q4,2217500000.0,1085600000.0,1131900000.0,0.5104396843,0,0.0,0.0,553900000.0,-57700000.0,611600000.0,1697200000.0,0.0,193500000.0,324500000.0,758100000.0,0.3418714769,520300000.0,0.2346335959,-101300000.0,240100000.0,0.1082750846,21600000.0,218800000.0,0.0986696731,0.69,0.69,315400000,315800000,https://www.sec.gov/Archives/edgar/data/783325/000010781524000095/0000107815-24-000095-index.htm,https://www.sec.gov/Archives/edgar/data/783325/000010781524000095/wec-20231231.htm,7.030754597336715,0.693722257450856,1.5218769816106532,-0.8985415345592898,0.1360177552314521,38.27362079898541,28.59448319594166,37.26886493341788,60.2136968928345,26547218000.0,45302218000.0,30.332744515539307,11.97168793686584,55.30670416666666,-93.67402258292168,2.258453541592228,2.258453541592228,20.42941059751973,59.75757551774172,94.37962083333332,-159.85256880733945,0.0082419182303772,-0.0106753182197848,1.5991952086842598,0.4278112959351111,24.73948027964649,0.5465902870102448,2.68888888372093,2.1937842778793417,0.0092702745726501,1.1247714808043876,0.0,0.0,0.069477033297906,1.5904166666666666,0.3442615558060879,2.352542372881356,0.0043742953776775,24.11888109076452,0.0112429271065366,0.0053513472530321,-96.1011414077362,-2319100000.0,9018700000.0,-29072500000.0,32315200000.0,1373200000.0,882150000.0,762550000.0,61.00924464487035,74.33124539425202,64.26676492262344,1.4751862692921769,1.210796341735445,1.4004127966976263,0.0186139894169091,2.420418516169943,2024-02-01,1.1,bmo,2967290000.0,2025-04-25,2023-12-31,0.0,82.34984126984126,2019848.7142857143
2023-09-30,WEC,USD,783325,2023-11-02,2023-11-01 17:43:00,2023,Q3,1957400000.0,1104000000.0,853400000.0,0.4359865127,0,0.0,0.0,22800000.0,41800000.0,381400000.0,1485400000.0,182800000.0,182500000.0,320300000.0,878800000.0,0.44896291,472000000.0,0.2411362011,-96000000.0,376000000.0,0.19209155,60400000.0,316300000.0,0.1615919076,1.0,1.0,315400000,315800000,https://www.sec.gov/Archives/edgar/data/783325/000010781523000226/0000107815-23-000226-index.htm,https://www.sec.gov/Archives/edgar/data/783325/000010781523000226/wec-20230930.htm,6.206087507926442,1.00285351934052,2.4860494610019024,0.4067850348763475,0.1455294863665187,38.36493341788206,28.6857958148383,37.36017755231452,58.3424223208624,25405470000.0,43578270000.0,20.08020075877332,12.979191785020946,32.400803468945284,198.01613406079505,2.1560390040226083,2.1560390040226083,22.26334423214468,49.5883818843878,55.57743910215534,339.65915822291504,0.0124500747280014,0.0050500935428472,1.5461326951474108,0.4193827589620111,20.679107874374147,0.5998478042074772,2.5863013698630137,2.48447401774398,0.0096829541039783,0.7777426493834967,0.0,0.0,0.070273492980247,0.836372911618416,0.3350362726065188,2.0474555104589447,0.0,29.034508342390087,0.0095166183060435,0.0078313596062284,-95.07974001268232,-1630100000.0,9047500000.0,-28897800000.0,32890200000.0,1279150000.0,808100000.0,676800000.0,57.16154081945438,70.73641304347827,61.13315217391305,1.5744851994851994,1.2723291460182091,1.4721962928390453,0.0268428467165673,2.079264426125555,2023-10-31,0.91,bmo,2022570000.0,2025-04-25,2023-09-30,0.0989010989010988,86.88825396825396,1327184.6825396826
2023-06-30,WEC,USD,783325,2023-08-03,2023-08-02 18:14:57,2023,Q2,1830000000.0,1029000000.0,801000000.0,0.437704918,0,0.0,0.0,21200000.0,48300000.0,375700000.0,1404700000.0,172800000.0,178700000.0,313900000.0,831100000.0,0.4541530055,425300000.0,0.2324043716,-86800000.0,338500000.0,0.1849726776,48500000.0,290000000.0,0.1584699454,0.92,0.92,315400000,315900000,https://www.sec.gov/Archives/edgar/data/783325/000010781523000196/0000107815-23-000196-index.htm,https://www.sec.gov/Archives/edgar/data/783325/000010781523000196/wec-20230630.htm,5.802155992390615,0.9194673430564364,3.038046924540266,1.2171845275840203,0.173430564362714,38.14648065948003,28.46734305643627,37.13316423589093,57.878249841471145,27830896000.0,45852296000.0,23.99215172413793,15.208139890710385,29.044975996660405,72.49517061734826,2.3763124370293207,2.3763124370293207,25.055899453551916,55.1706124413428,47.85253183051555,119.43812451159155,0.0104200741506849,0.0137940222980963,1.5434092112228692,0.4201858235722106,21.683792564071712,0.5998681930239937,2.379966424174594,3.3041379310344827,0.0088390973829947,0.8482758620689655,0.0,0.0,0.0709634977789038,0.5993529534543937,0.3138251366120219,1.82956355527238,0.0,27.71662798453648,0.0088031313644078,0.0072560769644577,-93.99183576410908,-1639300000.0,8978600000.0,-28530300000.0,32423900000.0,1547850000.0,714250000.0,563600000.0,64.67704918032787,65.466472303207,52.80174927113703,1.391529161280511,1.374749498997996,1.7044889845949975,0.0247613517990402,1.820862396956246,2023-08-01,0.85,bmo,2053210000.0,2025-04-25,2023-06-30,0.0823529411764706,92.39064516129032,1378542.677419355
2023-03-31,WEC,USD,783325,2023-05-04,2023-05-03 17:55:20,2023,Q1,2888100000.0,1843700000.0,1044400000.0,0.3616218275,0,0.0,0.0,23900000.0,375100000.0,375100000.0,2218800000.0,172500000.0,172200000.0,305500000.0,1059400000.0,0.3668155535,669300000.0,0.2317440532,-87600000.0,581700000.0,0.2014126935,74100000.0,507800000.0,0.1758249368,1.61,1.61,315400000,315900000,https://www.sec.gov/Archives/edgar/data/783325/000010781523000148/0000107815-23-000148-index.htm,https://www.sec.gov/Archives/edgar/data/783325/000010781523000148/wec-20230331.htm,9.156943563728598,1.6100190234622702,2.5240963855421685,0.940710209258085,0.1131896005072923,38.00792644261256,28.3287888395688,36.991122384273936,57.28883956880152,29896766000.000004,47757766000.0,14.718770185112248,10.351707350853504,37.55403341288783,100.76429389956186,2.56250672837919,2.56250672837919,16.53604999826876,45.08001321502737,59.9896570782565,160.96314796090326,0.0169851147110694,0.0099241503244866,1.5339590297420074,0.4181872562558563,16.85954313762507,0.7537575017260608,3.8867595818815337,1.568360914105595,0.0082316595714733,0.4846396218983851,0.0,0.0,0.0713339361948224,0.6273081271197086,0.1729164502614175,1.6346972176759411,0.0,36.60627325476873,0.0142104174524922,0.0127770606721669,-92.502536461636,-927300000.0,8934900000.0,-27969700000.0,32504900000.0,1799500000.0,939050000.0,665300000.0,55.48769086942973,33.19412051852254,25.554591310950805,1.6219813545995732,2.711323529411765,3.5218720152817573,0.0435244707294077,1.5833861762840835,2023-05-01,1.59,bmo,2854760000.0,2025-04-25,2023-03-31,0.0125786163522012,92.5833870967742,1369825.741935484
2022-12-31,WEC,USD,783325,2023-02-23,2023-02-23 07:42:27,2022,Q4,2558400000.0,1815700000.0,742700000.0,0.2902986241,0,0.0,0.0,100000.0,362300000.0,362300000.0,2178000000.0,150500000.0,150200000.0,284600000.0,746100000.0,0.2916275797,380400000.0,0.1486866792,-69200000.0,311200000.0,0.1216385241,59000000.0,253000000.0,0.0988899312,0.8,0.8,315400000,315900000,https://www.sec.gov/Archives/edgar/data/783325/000010781523000100/0000107815-23-000100-index.htm,https://www.sec.gov/Archives/edgar/data/783325/000010781523000100/wec-20221231.htm,8.111604311984781,0.8021559923906151,0.0038046924540266,-2.004438807863031,6.1448953709575145,36.83132530120482,27.152187698161065,36.16772352568167,55.30976537729867,29571904000.0,46837504000.0,29.221249011857708,11.558749218261411,24643.253333333338,-46.776184751660864,2.592366642413192,2.592366642413192,18.307342088805505,62.77644283608095,39031.25333333333,-74.08652957924707,0.008555418007579,-0.0213784002545118,1.5160905735800758,0.4130315890533314,23.14113389626056,0.6913250921708957,2.532623169107856,0.0047581284694686,0.007757363205291,0.9067193675889328,0.0,0.0,0.0729077356999051,527.8333333333334,0.2475766103814884,2.225579761068166,0.0136022514071294,25.549432743960928,0.0077336734071946,0.0065173766657307,-84.1789790741915,-1423300000.0,8563800000.0,-27067800000.0,30743300000.0,1570100000.0,1178050000.0,865850000.0,63.96810506566604,59.38701327311781,40.00605826953792,1.4069511658600968,1.5154828478424172,2.2496592739437493,0.0221787802547491,2.008243500317058,2023-02-02,0.75,bmo,1919133943.0,2025-04-25,2022-12-31,0.0666666666666667,92.4120634920635,1570121.1587301588
2022-09-30,WEC,USD,783325,2022-11-03,2022-11-02 17:42:00,2022,Q3,2003000000.0,1259400000.0,743600000.0,0.3712431353,0,0.0,0.0,31500000.0,339400000.0,339400000.0,1598800000.0,127800000.0,127500000.0,280300000.0,782900000.0,0.3908637044,404200000.0,0.201797304,-29100000.0,375100000.0,0.1872690964,73400000.0,302000000.0,0.1507738392,0.96,0.96,315400000,316200000,https://www.sec.gov/Archives/edgar/data/783325/000010781522000307/0000107815-22-000307-index.htm,https://www.sec.gov/Archives/edgar/data/783325/000010781522000307/wec-20220930.htm,6.350665821179454,0.9575142675967026,0.9413443246670894,-1.1889663918833229,6.038046924540266,36.76632847178186,27.08719086873811,36.0998731769182,52.20323398858592,28206222000.000004,44515122000.0,23.34952152317881,14.081988017973044,95.00243179521723,-75.216592,2.4772940215529733,2.4772940215529733,22.22422466300549,56.85926938306297,149.93304816436512,-118.706992,0.0107068575153382,-0.0132949389677213,1.434879983137038,0.4008095974092883,20.83139609145485,0.8223283971866931,3.1701960784313727,0.9840901557838913,0.0081365026482454,0.7599337748344371,0.0,0.0,0.0748951203356149,2.263051532502526,0.3354468297553669,2.3970745629682484,0.0,27.88795854073833,0.0083751269639274,0.0080088680976551,-81.822606214331,-598700000.0,8543300000.0,-26393900000.0,31029400000.0,1451850000.0,1118100000.0,748400000.0,59.39191213180229,82.75369223439733,66.07432110528823,1.5153578453623846,1.0875647668393782,1.36210253082414,0.026524034112367,2.130310716550412,2022-11-01,0.86,bmo,1828066470.0,2025-04-25,2022-09-30,0.1162790697674418,102.15109375,1193396.546875
