date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare,report_date,epsEstimated,time,revenueEstimated,updatedFromDate,fiscalDateEnding,surprise(%),QuarterAvgPrice,QuarterAvgVolume
2025-03-31,WELL,USD,766704,2025-04-29,2025-04-29 07:30:14,2025,Q1,2423087000.0,1948259000.0,474828000.0,0.195959947,0,63758000.0,0.0,63758000.0,1398632000.0,1462390000.0,3410649000.0,62490000.0,144962000.0,485869000.0,829538000.0,0.3423475921,257266000.0,0.1061728283,-58559000.0,198707000.0,0.0820057225,-5519000.0,257957000.0,0.1064580017,0.4,0.4,643393000,653795000,https://www.sec.gov/Archives/edgar/data/766704/000076670425000020/0000766704-25-000020-index.htm,https://www.sec.gov/Archives/edgar/data/766704/000076670425000020/well-20250331.htm,3.766107184877672,0.4009322451441032,0.0,0.0,5.442786912509151,53.749383347347575,49.57125116375217,52.7776320227295,4.11819370120595,98574241530.0,97577045530.0,95.53359816752406,40.68126382998216,0.0,0.0,2.902934332749483,2.902934332749483,40.26972433511467,117.628180420909,0.0,0.0,0.0026168803938653,0.0,0.0737601312304275,0.0469972818882202,-1.2021100901947832,0.0,1.7747133731598626,0.0,0.0043730826969518,1.6711053004958192,0.0263127159693399,0.0,0.0504409590237209,0.0,0.0,0.0,0.0072242556705557,21.81984707223909,0.0287619997130649,0.0050974171093447,-21.573525046122665,5274559000.0,31893796000.0,-13437078000.0,9193083000.0,2645077000.0,114656500.0,0.0,65.84316617603908,0.0,0.0,1.366884450230946,0.0,0.0,0.0075966319400505,0.0,2025-04-28,1.15,amc,2524065800.0,2025-05-11,2025-03-31,0.0434782608695652,142.48683333333332,3009675.783333333
2024-12-31,WELL,USD,766704,2025-02-12,2025-02-12 07:48:13,2024,Q4,2219235000.0,1409300000.0,809935000.0,0.3649613493,0,48707000.0,0.0,48707000.0,480161000.0,528868000.0,1938168000.0,71028000.0,154469000.0,480406000.0,754732000.0,0.3400865614,281067000.0,0.1266503998,-161210000.0,119857000.0,0.0540082506,-114000.0,119971000.0,0.0540596196,0.19,0.19,602975000,608750000,https://www.sec.gov/Archives/edgar/data/766704/000076670425000009/0000766704-25-000009-index.htm,https://www.sec.gov/Archives/edgar/data/766704/000076670425000009/well-20241231.htm,3.680475973299058,0.1989651312243459,0.9274215348895062,0.9039379742112028,5.81547493677184,54.019795182221486,49.7928106472076,52.99756706331108,4.133876197188938,75992939250.0,74824508250.0,158.35689301997982,34.24285361847664,135.89289795283364,139.4232830078598,2.3780336906681794,2.3780336906681794,33.71635191856653,99.14050053528936,133.80347390613937,137.27957745316044,0.0015787124591315,0.0071724031913925,0.073167473437399,0.0458063806056495,-1.5481402670086866,5.277453676563455,1.8195689750046933,4.518775302416911,0.0055035244606623,3.486084136999775,0.0219476531327236,0.0,0.049932423415359,0.0253213450355142,0.0063805770907542,0.0292190708087863,0.0060191912979022,15.403084996836256,0.0292781229217745,0.0024738562567256,-20.443719059662502,5859132000.0,30023820000.0,-11242819000.0,9609029000.0,3423968000.0,114656500.0,0.0,142.64831800147348,14.644270205066343,0.0,0.630922265757598,6.145748387575061,0.0,0.0037542314156923,0.0234835606783034,2025-02-11,0.4,amc,2189171530.0,2025-05-11,2024-12-31,1.8249999999999995,131.26140625,2621290.15625
2024-09-30,WELL,USD,766704,2024-10-29,2024-10-29 07:30:04,2024,Q3,2011056000.0,1212701000.0,798355000.0,0.3969829781,0,77901000.0,0.0,77901000.0,720454000.0,798355000.0,1691745000.0,0.0,139050000.0,403779000.0,726695000.0,0.3613499574,456800000.0,0.2271443461,-272934000.0,183866000.0,0.0914275883,-4706000.0,449849000.0,0.223687953,0.74,0.73,611290000,618306000,https://www.sec.gov/Archives/edgar/data/766704/000076670424000039/0000766704-24-000039-index.htm,https://www.sec.gov/Archives/edgar/data/766704/000076670424000039/well-20240930.htm,3.289855878551915,0.7359011271246053,1.1205548921133994,1.0949238495640368,5.831834317590669,50.817129349408624,50.70536406615518,49.62338824453205,26.65679628326981,78263458700.0,90854499700.0,43.49429402977444,38.91659839407754,114.2558931303505,116.93050621828851,2.580033418296613,2.580033418296613,45.17750858255563,125.02425322865852,132.6374042313397,135.74230961160347,0.0057478803961931,0.008552088179052,0.5325981848720924,0.3300257929441816,17.326445069802325,4.10385231226409,3.2851492268968,1.466009194339574,0.0052229738729908,0.9086782453667788,0.0387363653722223,0.0,0.0013956249025354,0.0228735269728927,0.0077909317293998,0.0373946872240387,0.0198452952080896,28.664488747753605,0.0580063669599154,0.0092021178439515,-19.3474218456052,5381186000.0,30995682000.0,-10774797000.0,5807667000.0,2771179000.0,0.0,0.0,149.04811203666134,0.0,0.0,0.603831868583902,0.0,0.0,0.0148297235065502,0.0256310425493628,2024-10-28,1.04,amc,2073070000.0,2025-04-24,2024-09-30,0.0673076923076923,116.68375,2832559.234375
2024-06-30,WELL,USD,766704,2024-07-30,2024-07-30 07:37:27,2024,Q2,1823747000.0,1485149000.0,338598000.0,0.1856606207,0,55565000.0,0.0,55565000.0,-16537000.0,442773000.0,1539429000.0,63453000.0,133424000.0,382045000.0,666363000.0,0.3653812727,284318000.0,0.1558977205,-562427000.0,90432000.0,0.0495858252,1101000.0,254714000.0,0.1396652058,0.15,0.15,600545000,604563000,https://www.sec.gov/Archives/edgar/data/766704/000076670424000033/0000766704-24-000033-index.htm,https://www.sec.gov/Archives/edgar/data/766704/000076670424000033/well-20240630.htm,3.0368198886011872,0.4241380745822544,1.0036899816000466,0.7287846872424215,4.768332098344004,49.43606057830804,45.67163493160379,48.25021605375117,24.08289303882307,62456680000.0,73922519000.0,61.30079226112424,34.246351056369114,103.61765276784662,142.70332763647332,2.155430762924317,2.155430762924317,40.53331904041514,110.93430907778492,122.63985062072696,168.9008997687745,0.004078250717137,0.0070075450696386,0.4945205112597392,0.3146979581405403,17.206596104525612,4.074540164032294,2.1309359635447898,2.366422732947542,0.005861566769159,1.43727474736371,0.0304674935722992,0.0,0.0496488366468289,0.2738946282191449,0.0905240694021703,0.4321297229383973,0.0056751292805416,21.458260857822463,0.0063632318495931,0.0058861795156035,-18.854305672347618,4660760000.0,27427872000.0,-9668677000.0,7212440000.0,2053969000.0,0.0,0.5,109.153363926027,0.0,0.0,0.8245279555561181,0.0,0.0,0.0087903870546353,0.2749052943576252,2024-07-29,1.0,amc,1950020000.0,2025-04-24,2024-06-30,0.05,98.00031746031746,2753145.0
2024-03-31,WELL,USD,766704,2024-04-30,2024-04-30 07:18:22,2024,Q1,1858713000.0,1461748000.0,396965000.0,0.2135698195,0,53318000.0,0.0,53318000.0,-48213000.0,48213000.0,1509961000.0,52664000.0,147318000.0,365863000.0,714615000.0,0.3844676397,348752000.0,0.1876309037,-207851000.0,140901000.0,0.0758056784,6191000.0,127146000.0,0.0684053966,0.21,0.21,574049000,577530000,https://www.sec.gov/Archives/edgar/data/766704/000076670424000022/0000766704-24-000022-index.htm,https://www.sec.gov/Archives/edgar/data/766704/000076670424000022/well-20240331.htm,3.2378995521288254,0.2214898031352724,0.7020933753041988,0.4712611658586636,4.317288245428526,49.73078604788093,48.781550007055145,47.98883544784505,25.666420462364712,52806767510.0,64914897510.0,103.8309650126626,28.41039337972027,131.02245831637867,195.19961894672392,1.916904195351355,1.916904195351355,34.92464813556477,90.83897974433786,161.06476222967677,239.95718456953583,0.002407759573163,0.005122960820292,0.5294937992284942,0.327391499471928,16.943571013762657,3.8290713438161457,2.367341397521009,3.1698677111352302,0.0066692966944683,2.7699180469696256,0.028685439871567,0.0,0.0122303962745085,0.3287770794668466,0.0712907258947454,0.3621820162191859,0.0064819044145061,15.46458368695288,0.0077299908184869,0.0028891120721488,-21.08755437166513,4015052000.0,28003000000.0,-10571413000.0,4851261000.0,2356487500.0,86607500.0,0.5,91.808848380573,0.0,6.157012015751005e-08,0.9802976683350298,0.0,1461748000.0,0.0046154444271937,0.2308322094455351,2024-04-29,0.94,amc,1804823952.0,2025-04-24,2024-03-31,0.074468085106383,90.54508196721312,2645288.9672131147
2023-12-31,WELL,USD,766704,2024-02-15,2024-02-15 07:25:22,2023,Q4,1748695000.0,2278618000.0,-529923000.0,-0.3030391235,0,44327000.0,0.0,44327000.0,-44429000.0,44429000.0,2323047000.0,51019000.0,171536000.0,1243620000.0,669268000.0,0.3827242601,-574352000.0,-0.3284460698,166359000.0,87463000.0,0.0500161549,-4768000.0,83911000.0,0.0479849259,0.16,0.15,548892000,552380000,https://www.sec.gov/Archives/edgar/data/766704/000076670424000008/0000766704-24-000008-index.htm,https://www.sec.gov/Archives/edgar/data/766704/000076670424000008/well-20231231.htm,3.185863521421336,0.1528734250089271,0.7746660545243873,0.4401885981213062,3.7823160111643097,48.045384155717336,43.97392565386269,46.283013780488695,29.678543319997377,49493591640.0,63536287640.0,147.4585919605296,28.30315843529032,116.39854292487442,204.84401546255216,1.948230952021809,1.948230952021809,36.33354452320159,94.93399899591792,149.4240175161333,262.9639081848884,0.0016953912055997,0.004881763315086,0.6344882865849568,0.3662346224905177,20.982171566547333,4.448486347213712,-3.3482884059322826,5.067368998105136,0.0068350262890721,4.031533410399113,0.0253486171116175,0.0,0.0507766647976379,0.431769863219883,0.1049880053411258,0.1476270886605233,0.0048138754900082,12.61734773310422,-0.0135457832399097,0.00200852734285,-24.506965395742697,3793066000.0,24136936000.0,-12747451000.0,6378826000.0,2201662000.0,86607500.0,1613257500.0,144.9775118016578,6.84158116893661,0.0,0.6207859334979348,13.154853794417342,0.0,0.0033030136225349,0.3344774564030811,2024-02-13,0.94,amc,1719207654.0,2025-04-24,2023-12-31,0.0212765957446808,86.76174603174603,3195163.714285714
2023-09-30,WELL,USD,766704,2023-10-31,2023-10-31 08:23:50,2023,Q3,1662013000.0,995273000.0,666740000.0,0.4011641305,0,46106000.0,0.0,46106000.0,-38220000.0,389479000.0,1384752000.0,42220000.0,156532000.0,339314000.0,568081000.0,0.3418029823,134722000.0,0.0810595344,-62487000.0,72235000.0,0.0434623556,4584000.0,127470000.0,0.076696151,0.11,0.11,521847999,525138000,https://www.sec.gov/Archives/edgar/data/766704/000076670423000031/0000766704-23-000031-index.htm,https://www.sec.gov/Archives/edgar/data/766704/000076670423000031/well-20230930.htm,3.184860348578246,0.2442665301855454,0.8413484402380549,0.814622267048302,4.947871803567077,45.642829033823695,41.75257745886269,43.98605732701104,31.34223956275053,42749788078.08,56367104078.08,83.84284160602495,25.72169295792512,97.36750682846836,100.56194547299634,1.8624083397830344,1.8624083397830344,33.91495979759485,99.2237094324225,128.38249352720382,132.59447360107643,0.002981769167304,0.0099441194708044,0.7057300511334913,0.3888961443056296,23.970729526247137,3.365888692698246,0.8606674673549178,3.258977746767417,0.0074547971891212,2.5001255197301324,0.0277410585837776,0.0,0.0487368748910987,0.0317658795233409,0.008391631112392,0.0398437901737505,0.0053074193763827,15.548222920827904,0.0031528984930372,0.0032169424525412,-23.859388699121943,3872321000.0,21788499000.0,-12327032000.0,6241134000.0,1470654500.0,0.0,3018443500.0,85.90649411286194,0.0,291.76552563969886,1.0476507152271877,0.0,0.3084668752508511,0.0055532717644949,0.0267261731897529,2023-10-30,0.89,amc,1625899451.0,2025-04-24,2023-09-30,0.0337078651685393,82.24492063492065,1954468.2698412696
2023-06-30,WELL,USD,766704,2023-08-01,2023-08-01 07:32:55,2023,Q2,1665478000.0,958672000.0,706806000.0,0.4243862723,0,44287000.0,0.0,44287000.0,-11069000.0,388688000.0,1347360000.0,38710000.0,152337000.0,341945000.0,646627000.0,0.3882531021,106342000.0,0.0638507383,-169357000.0,152345000.0,0.091472238,3503000.0,103040000.0,0.0618681243,0.21,0.21,499023000,501970000,https://www.sec.gov/Archives/edgar/data/766704/000076670423000025/0000766704-23-000025-index.htm,https://www.sec.gov/Archives/edgar/data/766704/000076670423000025/well-20230630.htm,3.3374774308999786,0.2064834686978355,0.8341198702264224,0.8103333914468872,4.4162052650879815,44.47312849307547,40.427884085503074,42.491911194474,33.049065874719204,40365970470.0,54502089470.0,97.93762245244564,24.2368680162692,96.97646931494673,99.82311089953632,1.9036564307448616,1.9036564307448616,32.72459286162891,84.28675182137461,130.9375235017838,134.78105587635238,0.0025526451810833,0.0100177202552464,0.7705889063522118,0.4078437485297012,21.861318812855018,3.115402902723116,0.6980707247746772,3.914210753982434,0.0075162815725064,2.94450698757764,0.0265911648187487,0.0,0.0503859624075248,0.0285168590613701,0.007127083035621,0.0337145989610109,0.0063068980797104,14.050346520221346,0.0026963052458786,0.0027083385628221,-26.54362524372624,3238923000.0,20174444000.0,-13100984000.0,5579909000.0,1333202500.0,0.0,1948988500.0,73.21627784936216,0.0,263.8373500008345,1.229234845633225,0.0,0.3411192539635322,0.0048593594143792,0.0237864787795352,2023-07-31,0.86,amc,1885350000.0,2025-04-24,2023-06-30,0.0465116279069767,77.04338709677418,2455113.0483870967
2023-03-31,WELL,USD,766704,2023-05-03,2023-05-03 07:32:26,2023,Q1,1560729000.0,957753000.0,602976000.0,0.3863425361,0,44371000.0,0.0,44371000.0,339889000.0,384260000.0,1342013000.0,36405000.0,144403000.0,339112000.0,521519000.0,0.3341509,195971000.0,0.125563759,-185077000.0,38004000.0,0.0243501594,3045000.0,34959000.0,0.0223991481,0.071,0.0707,492061000,494494000,https://www.sec.gov/Archives/edgar/data/766704/000076670423000017/0000766704-23-000017-index.htm,https://www.sec.gov/Archives/edgar/data/766704/000076670423000017/well-20230331.htm,3.1718201605085548,0.0710460694913842,0.7642507737861769,0.7432472803168713,1.1622583378890017,43.889182438762674,39.70443501923542,41.55613836495882,31.54210148741721,35275853090.0,50080186090.0,252.26589068623244,22.602164174562017,93.80428840763923,96.45511244849244,1.7251362330733504,1.7251362330733504,32.08768856732976,96.02753895831216,133.1714418786464,136.9347459416006,0.0009910178475573,0.0103675168129009,0.7519619740754117,0.3994461302675861,28.386948510025523,2.043737130290588,1.3571116943553805,13.132809498865026,0.0085099288522975,8.587059126405217,0.0284296633175906,0.0,0.0534929323457029,0.0274824628115875,0.0066219055326068,0.0296282917935221,0.0060587071810673,8.150399169156374,0.0048757785786774,0.0009594964014836,-30.07430633600306,1588045000.0,19537004000.0,-13788190000.0,3970092000.0,1262266000.0,108366000.0,543802500.5,75.62898491666395,0.0,102.20218574100002,1.1900199387730983,0.0,0.880607389631346,0.0017096407964434,0.0210034934693056,2023-05-02,0.82,amc,1538330171.0,2025-04-24,2023-03-31,0.0365853658536585,72.53483870967742,2319771.1129032257
2022-12-31,WELL,USD,766704,2023-02-21,2023-02-21 16:09:46,2022,Q4,1518531000.0,938838000.0,579693000.0,0.381745911,0,41319000.0,0.0,41319000.0,352755000.0,394074000.0,1332912000.0,36646000.0,140391000.0,342286000.0,502951000.0,0.3312089118,160665000.0,0.1058029108,-169624000.0,6783000.0,0.0044668169,-4088000.0,10871000.0,0.0071588924,0.0225,0.0225,483305000,483305000,https://www.sec.gov/Archives/edgar/data/766704/000076670423000010/0000766704-23-000010-index.htm,https://www.sec.gov/Archives/edgar/data/766704/000076670423000010/well-20221231.htm,3.1419724604545785,0.0224930426956062,0.5242776300679695,0.5040792046430308,4.410198528879279,44.26603490549446,40.09935134128553,41.99173192911309,31.25211408944662,31680642750.0,46012873750.0,728.5586135130163,20.86269081763889,125.02917584239069,130.03908789774405,1.5610215865984285,1.5610215865984285,30.30091170348185,91.48579831832524,181.59201277892228,188.86839453420023,0.0003431432905508,0.0076899954941728,0.7373268855777638,0.3948966824762616,28.49627697330356,2.003580349437416,1.1444109665149476,140.9265850945495,0.0094136663309963,27.433630760739582,0.0272098495190417,0.0,0.0531434992627839,0.0385262011318699,0.006428581306539,0.0279406840058045,0.0044075491379497,4.60996105523028,0.0070822307179845,0.000302986773433,-27.845776992789236,1540822000.0,19380217000.0,-13423090000.0,3878543000.0,1279914500.0,108366000.0,0.5,71.892855661162,20.776619608494755,9.586318406370428e-08,1.2518629170077584,4.331792259564808,938838000.0,0.0005356540838462,0.0201984254249387,2023-02-15,0.82,amc,1341978486.0,2025-04-24,2022-12-31,0.0121951219512195,64.28857142857143,3050297.507936508
