date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare,report_date,epsEstimated,time,revenueEstimated,updatedFromDate,fiscalDateEnding,surprise(%),QuarterAvgPrice,QuarterAvgVolume
2025-03-31,WFC,USD,72971,2025-04-29,2025-04-29 16:44:59,2025,Q1,20149000000.0,0.0,20149000000.0,1.0,0,9631000000.0,181000000.0,9812000000.0,-9812000000.0,0.0,0.0,20973000000.0,9478000000.0,1858000000.0,0.0,0.0,0.0,0.0,5326000000.0,5326000000.0,0.264330736,522000000.0,4894000000.0,0.242890466,1.4071454700646262,1.3896917148362236,3280400000,3321600000,https://www.sec.gov/Archives/edgar/data/72971/000007297125000129/0000072971-25-000129-index.htm,https://www.sec.gov/Archives/edgar/data/72971/000007297125000129/wfc-20250331.htm,6.142238751371784,1.4918912327764906,-3.3645287160102426,-3.3645287160102426,10.747469820753569,55.757224728691625,48.11608340446287,55.203633703206926,60.38562370442629,235499916000.00003,388854916000.0,12.030032488761751,11.687920790113656,-21.33731231312857,-21.33731231312857,1.3004578717764648,1.3004578717764648,19.298968484788325,0.0,-35.23193947630697,-35.23193947630697,0.020781323760642,-0.0468662587548438,1.0415318349991718,0.096708166030956,0.0,0.2522321428571428,2.0264823802489977,-2.297460449625312,0.0066539301865398,0.3201879852881079,0.477988982083478,0.0,0.0128523091958154,0.0,0.0,0.0,0.0,43.047077550426486,0.1290179213129402,0.0025420141332661,-528.0298134373857,-104520000000.0,157840000000.0,-1732149000000.0,-69097000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0270252360704622,0.0,2025-04-11,1.23,bmo,20721212248.0,2025-05-11,2025-03-31,0.032520325203252,75.083,15943535.65
2024-12-31,WFC,USD,72971,2025-02-25,2025-02-25 16:36:31,2024,Q4,19283000000.0,0.0,19283000000.0,1.0,0,9229000000.0,243000000.0,12780000000.0,0.0,12780000000.0,12780000000.0,0.0,0.0,-962000000.0,5541000000.0,0.2873515532,6503000000.0,0.337240056,-1120000000.0,5383000000.0,0.2791578074,120000000.0,5079000000.0,0.2633926256,1.45,1.43,3312800000,3360700000,https://www.sec.gov/Archives/edgar/data/72971/000007297125000066/0000072971-25-000066-index.htm,https://www.sec.gov/Archives/edgar/data/72971/000007297125000066/wfc-20241231.htm,5.820755856073412,1.533144168075344,2.6877565805361026,2.6877565805361026,42.98780487804878,54.65648394107704,44.71142236174837,54.06906544312968,52.24523062062304,232691072000.0,263359072000.0,11.453586926560346,12.067161333817351,26.133318957771785,26.133318957771785,1.2990792317999105,1.2990792317999105,13.657577762796244,47.52915935751669,29.577613656783463,29.577613656783463,0.021827223349592,0.0382653271716415,0.9662684234033052,0.0896849228824076,5.534741021476268,1.808243181471888,0.0,1.6918107543226295,0.0070135909640744,0.3213230950974601,0.4786081003993154,0.0,0.0170718373755405,0.0,0.0,0.0,0.0,43.18741284265491,0.0034347524671979,0.0026775279021181,-484.8976696450133,63654000000.0,148120000000.0,-1606369000000.0,106897000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028355292541313,0.0,2025-01-15,1.32,bmo,20589148351.0,2025-04-25,2024-12-31,0.0757575757575756,68.27375,17080222.21875
2024-09-30,WFC,USD,72971,2024-10-31,2024-10-31 16:32:36,2024,Q3,19301000000.0,-1065000000.0,20366000000.0,1.0551784882,0,8743000000.0,205000000.0,12006000000.0,0.0,11854000000.0,12006000000.0,0.0,0.0,1783000000.0,7295000000.0,0.3779596912,7295000000.0,0.3779596912,-1061000000.0,6234000000.0,0.3229884462,1064000000.0,5114000000.0,0.2649603647,1.43,1.42,3384800000,3425100000,https://www.sec.gov/Archives/edgar/data/72971/000007297124000243/0000072971-24-000243-index.htm,https://www.sec.gov/Archives/edgar/data/72971/000007297124000243/wfc-20240930.htm,5.702257149610022,1.5108721342472229,1.2426140392342235,1.2426140392342235,103.47671945166628,54.65935948948239,45.0085677144883,54.14352398960057,58.01376743086741,191207352000.0,202026352000.0,9.347250293312475,9.90660338842547,45.46061626248217,45.46061626248217,1.0433380732818596,1.0433380732818596,10.46714429304181,27.693811103495545,48.032893961008085,48.032893961008085,0.0267458334970299,0.0219970621213351,1.0714811884429651,0.1021603693828445,1.4830705962988349,0.0617482887087001,0.0,0.8224481814626515,0.0083155798318884,0.3109112240907313,0.4529817107921869,0.0,0.0169947323925343,0.0,0.0,0.0,0.0,42.90208254888397,0.0047626900176826,0.0027065948506953,-409.7335145355708,-509481000000.0,152345000000.0,-1703584000000.0,-457838000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0279049463891086,0.0,2024-10-11,1.28,bmo,20402766332.0,2025-04-25,2024-09-30,0.1875,56.55578125,17377874.8125
2024-06-30,WFC,USD,72971,2024-08-01,2024-08-01 17:16:01,2024,Q2,20689000000.0,0.0,20689000000.0,1.0,0,8575000000.0,224000000.0,8799000000.0,0.0,11807000000.0,11807000000.0,22884000000.0,10961000000.0,0.0,0.0,0.0,18103000000.0,0.8750060419,-11943000000.0,6160000000.0,0.2977427619,1251000000.0,4910000000.0,0.2373241819,1.35,1.33,3448300000,3486200000,https://www.sec.gov/Archives/edgar/data/72971/000007297124000185/0000072971-24-000185-index.htm,https://www.sec.gov/Archives/edgar/data/72971/000007297124000185/wfc-20240630.htm,5.9997680016239885,1.4238900327697706,0.5944958385291303,0.5944958385291303,109.7001420990053,51.66255836209147,42.03491575558971,51.164341849607055,90.86883391816258,208932497000.0,279291497000.0,10.63811084521385,10.098723814587462,101.9182912195122,101.9182912195122,1.1842231876664966,1.1842231876664966,13.499516506356034,0.0,136.23975463414635,136.23975463414635,0.023500413150186,0.0098117814578169,1.713892195204897,0.1558611454311255,0.0,2.624812764023764,1.6515828847732872,0.4176003259319617,0.0073516567410765,0.3128309572301426,0.414471458262845,0.0,0.0171122426836515,0.0,0.0,0.0,0.0,40.48677461640797,0.005951056399044,0.0025748948278701,-401.2545312182815,193083000000.0,144949000000.0,-1450008000000.0,245155000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0278297341721929,0.0,2024-07-12,1.29,bmo,20302866663.0,2025-04-25,2024-06-30,0.0310077519379845,59.03523809523809,18006371.222222224
2024-03-31,WFC,USD,72971,2024-05-02,2024-05-02 17:18:25,2024,Q1,20863000000.0,0.0,20863000000.0,1.0,0,9656000000.0,197000000.0,9853000000.0,0.0,12557000000.0,12557000000.0,22840000000.0,10613000000.0,0.0,0.0,0.0,18266000000.0,0.8755212577,-12679000000.0,5587000000.0,0.2677946604,964000000.0,4619000000.0,0.2213967311,1.21,1.2,3560100000,3600100000,https://www.sec.gov/Archives/edgar/data/72971/000007297124000129/0000072971-24-000129-index.htm,https://www.sec.gov/Archives/edgar/data/72971/000007297124000129/wfc-20240331.htm,5.860228645262773,1.2974354652959186,-3.405803207775062,-3.405803207775062,11.81792646273981,51.31148001460633,41.92382236454032,50.82525771747984,62.05022330833403,205097361000.0,145742361000.0,11.100744804070146,9.830674447586636,-16.915246268041237,-16.915246268041237,1.133491547061782,1.133491547061782,6.985685711546758,0.0,-12.019988536082474,-12.019988536082474,0.0225210113746904,-0.059118264325205,1.1622002509077445,0.1073382221807076,0.0,3.0935200983359934,1.7210967681145766,-2.6227557862859614,0.0071868306486888,0.319116691924659,0.4628289316013996,0.0,0.0170589024951088,0.0,0.0,0.0,0.0,38.518905327746886,0.0061708238108867,0.0023985684404683,-487.17901182551054,228223000000.0,149253000000.0,-1439242000000.0,280029000000.0,26862000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0255273760244939,0.0,2024-04-12,1.11,bmo,20210055929.0,2025-04-25,2024-03-31,0.135135135135135,52.319016393442624,19147568.98360656
2023-12-31,WFC,USD,72971,2024-02-20,2024-02-20 17:06:58,2023,Q4,20478000000.0,0.0,20478000000.0,1.0,0,8652000000.0,259000000.0,12498000000.0,3288000000.0,12498000000.0,15786000000.0,22839000000.0,10068000000.0,1494000000.0,0.0,0.0,6698000000.0,0.3270827229,-3288000000.0,3410000000.0,0.166520168,-100000000.0,3446000000.0,0.1682781522,0.87,0.86,3620900000,3657000000,https://www.sec.gov/Archives/edgar/data/72971/000007297124000064/0000072971-24-000064-index.htm,https://www.sec.gov/Archives/edgar/data/72971/000007297124000064/wfc-20231231.htm,5.655500013808721,0.9516970918832336,5.026927007097683,5.026927007097683,100.14416305338452,51.76696401447154,42.46458062912536,51.29525808500649,63.39280289430805,178220698000.0,160472698000.0,12.929534097504352,8.703032425041508,9.791270080210966,9.791270080210966,0.9595428863703664,0.9595428863703664,7.836346225217306,0.0,8.816212394242392,8.816212394242392,0.0193355768363111,0.1021317961620821,1.1816351253129458,0.1135703152652463,0.0,2.1326751868574783,0.6652761223678982,5.185754985754985,0.0090337430953165,0.4672083575159605,0.4225021974802226,0.0,0.0174300428260649,0.0,0.0,0.0,0.0,33.14204020281889,0.0031420905824588,0.0018148447559886,-370.6592283686376,88804000000.0,153760000000.0,-1577819000000.0,140723000000.0,52371000000.0,0.0,0.0,236.1148549663053,0.0,0.0,0.3811704266249721,0.0,0.0,0.0185533152071499,0.0,2024-01-12,1.16,bmo,20276200000.0,2025-04-25,2023-12-31,0.1120689655172414,43.153174603174605,16710271.42857143
2023-09-30,WFC,USD,72971,2023-10-31,2023-10-31 17:02:38,2023,Q3,20857000000.0,0.0,20857000000.0,1.0,0,8799000000.0,215000000.0,9014000000.0,0.0,13113000000.0,11851000000.0,22093000000.0,8988000000.0,1597000000.0,8144000000.0,0.3904684279,7809000000.0,0.374406674,-1262000000.0,6547000000.0,0.3138994103,811000000.0,5767000000.0,0.2765018938,1.49,1.48,3648800000,3680600000,https://www.sec.gov/Archives/edgar/data/72971/000007297123000170/0000072971-23-000170-index.htm,https://www.sec.gov/Archives/edgar/data/72971/000007297123000170/wfc-20230930.htm,5.716125849594388,1.5805196228897171,4.249342249506687,4.249342249506687,94.3688335891252,49.98163779872835,40.47166191624644,49.527241832931374,57.95439596579698,149089968000.0,133669968000.0,6.4630643315415295,7.148198110945965,9.615605804579168,9.615605804579168,0.8250005146224718,0.8250005146224718,6.408877978616292,16.41330648330059,8.621087907126734,8.621087907126734,0.0386813417251521,0.103997607672704,1.1204161248374511,0.106049408645544,-1.893418467583497,0.4979799612152553,0.8688251001335113,2.6885729148604125,0.0101549421487567,0.2625281775619906,0.4218727525530997,0.0,0.0181745712084413,0.0,0.0,0.0,0.0,41.9675171490098,0.0119737964029902,0.0030764536336774,-368.4201655338741,-31065000000.0,147673000000.0,-1696073000000.0,21238000000.0,51542500000.0,0.0,0.0,220.14767224433044,0.0,0.0,0.4088164961386177,0.0,0.0,0.0319121268295382,0.0,2023-10-13,1.24,bmo,20121900000.0,2025-04-25,2023-09-30,0.1209677419354838,43.17460317460318,15215872.92063492
2023-06-30,WFC,USD,72971,2023-08-04,2023-08-04 14:32:54,2023,Q2,18820000000.0,0.0,18820000000.0,1.0,0,8606000000.0,184000000.0,11748000000.0,1239000000.0,12987000000.0,12987000000.0,20830000000.0,7667000000.0,1628000000.0,7461000000.0,0.3964399575,5833000000.0,0.309936238,0.0,5833000000.0,0.309936238,930000000.0,4938000000.0,0.2623804463,1.26,1.25,3699900000,3724900000,https://www.sec.gov/Archives/edgar/data/72971/000007297123000142/0000072971-23-000142-index.htm,https://www.sec.gov/Archives/edgar/data/72971/000007297123000142/wfc-20230630.htm,5.0866239628098056,1.3346306656936675,-0.2040595691775453,-0.2040595691775453,78.26806129895402,49.177545339063215,39.84756344766075,48.701586529365656,52.69115381496797,157911732000.0,189863732000.0,7.994721142162819,8.390634006376196,-209.15461192052985,-209.1546119205298,0.8763574873328857,0.8763574873328857,10.088402337938364,25.447491221015948,-251.4751417218543,-251.4751417218543,0.0312706341540222,-0.0047811520425854,1.039369335871381,0.0998150635286092,4.282535853102801,4.054964097086226,0.7607930089996087,-0.1539873546808076,0.0091760123307367,0.2934386391251519,0.4572794899043571,0.0,0.018397714675535,0.0,0.0,0.0,0.0,38.24224358122263,0.0020005426721913,0.002681072863503,-369.1272061407065,257396000000.0,147432000000.0,-1352717000000.0,309477000000.0,51427000000.0,0.0,0.0,248.9920297555792,0.0,0.0,0.3614573530259089,0.0,0.0,0.0274042543745248,0.0,2023-07-14,1.16,bmo,20084100000.0,2025-04-25,2023-06-30,0.0775862068965518,40.25064516129032,21833137.080645163
2023-03-31,WFC,USD,72971,2023-05-02,2023-05-02 17:09:03,2023,Q1,20729000000.0,0.0,20729000000.0,1.0,0,9592000000.0,154000000.0,9746000000.0,0.0,13676000000.0,12433000000.0,19356000000.0,6020000000.0,1552000000.0,0.0,0.0,18673000000.0,0.9008152829,-12827000000.0,5846000000.0,0.282020358,966000000.0,4991000000.0,0.2407737952,1.24,1.23,3785600000,3818700000,https://www.sec.gov/Archives/edgar/data/72971/000007297123000102/0000072971-23-000102-index.htm,https://www.sec.gov/Archives/edgar/data/72971/000007297123000102/wfc-20230331.htm,5.475750211327134,1.3184171597633136,1.956360946745562,1.956360946745562,81.05293744716822,48.39919695688926,39.12114327979712,47.85714285714285,52.37161876584953,141505728000.0,171307728000.0,7.088044880785414,6.82646186502002,19.10690359168242,19.10690359168242,0.7810746268656718,0.7810746268656718,8.264157846495248,0.0,23.130938158250068,23.130938158250068,0.0352706570295161,0.052337103979282,1.0611035061379492,0.101907336726039,0.0,0.3945091164961052,3.101827242524917,1.517622950819672,0.0095897178098684,0.271889400921659,0.4627333687105022,0.0,0.0186190627650551,0.0,0.0,0.0,0.0,37.67827972588826,0.0266238712019202,0.0026959768851446,-358.79536929416736,-49049000000.0,148097000000.0,-1671222000000.0,3905000000.0,47575000000.0,0.0,0.0,220.50412465627863,0.0,0.0,0.4081556303778526,0.0,0.0,0.0275490152786364,0.0,2023-04-14,1.13,bmo,20078600000.0,2025-04-25,2023-03-31,0.088495575221239,43.586290322580645,23280006.532258064
2022-12-31,WFC,USD,72971,2023-02-21,2023-02-21 17:13:29,2022,Q4,19660000000.0,583000000.0,19077000000.0,0.97034588,0,8415000000.0,178000000.0,11574000000.0,4620000000.0,11574000000.0,16194000000.0,17793000000.0,4360000000.0,1579000000.0,0.0,0.0,2493000000.0,0.1268056968,8000000.0,2501000000.0,0.1272126144,-127000000.0,2864000000.0,0.1456765005,0.68,0.67,3799900000,3832700000,https://www.sec.gov/Archives/edgar/data/72971/000007297123000071/0000072971-23-000071-index.htm,https://www.sec.gov/Archives/edgar/data/72971/000007297123000071/wfc-20221231.htm,5.173820363693782,0.7537040448432853,1.9066291218189952,1.9066291218189952,71.77846785441722,47.86415431985052,38.4815389878681,47.3404563277981,52.56769914997763,156897871000.0,193132871000.0,13.69569404678771,7.980563123092573,21.65602084195997,21.65602084195997,0.8721926910483687,0.8721926910483687,9.823645523906409,0.0,26.6574011042098,26.6574011042098,0.0182539124447392,0.0461765347982319,1.0861809226800971,0.1038755568787147,0.0,3.750431676798259,0.5717889908256881,2.756849315068493,0.0094073934247329,0.5153631284916201,0.4280264496439471,0.0,0.0189540781065592,0.0,0.0,0.0,0.0497456765005086,28.334000810461585,0.0010725775794454,0.0015519948064531,-366.6195820942656,232560000000.0,146226000000.0,-1382027000000.0,286190000000.0,45278500000.0,0.0,0.0,203.08596134282809,0.0,0.0,0.4431620945382413,0.0,0.0,0.0159209290173384,0.0,2023-01-13,0.66,bmo,19991553801.0,2025-04-25,2022-12-31,-0.0757575757575758,44.26190476190476,18199642.85714286
