date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare,report_date,epsEstimated,time,revenueEstimated,updatedFromDate,fiscalDateEnding,surprise(%),QuarterAvgPrice,QuarterAvgVolume
2025-03-31,WMB,USD,107263,2025-05-05,2025-05-05 16:25:28,2025,Q1,3048000000.0,615000000.0,2433000000.0,0.7982283465,0,0.0,0.0,194000000.0,348000000.0,542000000.0,1954000000.0,0.0,-349000000.0,585000000.0,1120000000.0,0.3674540682,1094000000.0,0.3589238845,-172000000.0,922000000.0,0.3024934383,193000000.0,691000000.0,0.2267060367,0.57,0.57,1220661000,1220661000,https://www.sec.gov/Archives/edgar/data/107263/000010726325000102/0000107263-25-000102-index.htm,https://www.sec.gov/Archives/edgar/data/99250/000010726325000102/wmb-20250331.htm,2.49700776874169,0.5660867349739198,1.1739541117476515,0.344895101916093,0.0819228270584544,43.04716870613544,37.218359560926416,10.2297034147892,22.169955458558928,72946701360.0,100257701360.0,26.39171539797395,23.932644803149607,50.90488580600139,173.27007448931116,5.84181159285657,5.84181159285657,32.89294664041995,89.51580478571428,69.9635040893231,238.14180845605705,0.0094726695946104,0.0057713370467887,2.195162969488268,0.4990714441774088,24.384821428571428,0.4045643153526971,-3.134670487106017,1.9657064471879289,0.0083622698302639,0.8827785817655571,0.0,0.0,0.1295426407399315,0.7062107466852756,0.3320209973753281,1.72991452991453,0.0,11.414693891259876,0.0166515036788497,0.0144533456043841,-0.6699239182705108,-3731000000.0,45431000000.0,157000000.0,61697000000.0,1822000000.0,1582000000.0,264000000.0,52.58858267716536,226.9756097560976,36.4390243902439,1.7113980909601347,0.3965183752417795,2.469879518072289,0.0553375510530952,0.8290590098315584,2025-05-05,0.567,amc,2941960125.0,2025-05-11,2025-03-31,0.0582010582010582,57.24516666666667,7678693.133333334
2024-12-31,WMB,USD,107263,2025-02-25,2025-02-25 17:07:14,2024,Q4,2743000000.0,1187000000.0,1556000000.0,0.5672621218,0,0.0,0.0,188000000.0,575000000.0,763000000.0,1903000000.0,67000000.0,338000000.0,590000000.0,1536000000.0,0.5599708349,793000000.0,0.2890995261,-185000000.0,608000000.0,0.2216551221,91000000.0,486000000.0,0.177178272,0.4,0.4,1219184000,1224472000,https://www.sec.gov/Archives/edgar/data/107263/000010726325000031/0000107263-25-000031-index.htm,https://www.sec.gov/Archives/edgar/data/107263/000010726325000031/wmb-20241231.htm,2.249865483799,0.3986272785732096,0.999028858646439,0.3428522684024724,0.0492132442682974,10.489803015787608,4.576831716951666,10.20026509534246,22.371520623630232,65982238080.0,92859238080.0,33.94148049382716,24.05477144732045,54.172609261083736,157.85224421052632,5.305744458025088,5.305744458025088,33.853167364199784,60.455233125,76.23911172413793,222.15128727272727,0.0073656185989137,0.0063350382188187,2.1660501769057574,0.4939668451551383,17.498046875,0.500941265060241,2.3461538461538463,2.355899419729207,0.0087750888246317,1.191358024691358,0.0,0.0,0.13219760874349,0.6568144499178982,0.2916514764855997,1.415929203539823,0.0109369303682099,9.56490136398894,0.0131135305665614,0.0102698476427952,-32.9287867951023,-2651000000.0,5580000000.0,-39082000000.0,43250000000.0,1586500000.0,1375000000.0,277000000.0,61.12650382792563,122.29991575400167,21.1541701769166,1.4723564143854,0.735895846249225,4.254480286738351,0.0390800900611129,0.6561765902439665,2025-02-12,0.47,amc,2682026812.0,2025-05-11,2024-12-31,0.0,53.89,6540911.734375
2024-09-30,WMB,USD,107263,2024-11-06,2024-11-06 16:18:31,2024,Q3,2653000000.0,517000000.0,2136000000.0,0.8051262721,0,0.0,0.0,170000000.0,1128000000.0,1298000000.0,1815000000.0,0.0,338000000.0,566000000.0,1872000000.0,0.7056162835,838000000.0,0.3158688277,130000000.0,968000000.0,0.3648699585,227000000.0,706000000.0,0.2661138334,0.58,0.58,1219537000,1219537000,https://www.sec.gov/Archives/edgar/data/107263/000010726324000095/0000107263-24-000095-index.htm,https://www.sec.gov/Archives/edgar/data/107263/000010726324000095/wmb-20240930.htm,2.1754157520436035,0.5789082250067034,1.0192392686732752,0.4600106433835136,0.6248272910129008,12.1890520746808,6.1990739108366535,10.190752720089671,22.50608222628752,55671864050.0,82018864050.0,19.713832878895182,20.984494553335846,44.78830575221239,99.2368343137255,4.479551339716768,4.479551339716768,30.91551603844704,43.81349575320513,65.98460502815769,146.20118368983958,0.0126814507120855,0.0100769034695183,2.1812841969745738,0.5035384586808329,14.074252136752136,0.5717312990040263,2.4792899408284024,1.5615577889447236,0.0104002265754922,0.8201133144475921,0.0,0.0,0.1356873525642216,0.5486725663716814,0.2570674707877874,1.2941176470588236,-0.0180927252167357,11.521240722902212,0.0124797777749909,0.0151723545087251,-30.41318139589041,-2021000000.0,7560000000.0,-36274000000.0,43258000000.0,1354000000.0,1164500000.0,274500000.0,44.44025631360724,197.9303675048356,47.87234042553192,2.0251908396946563,0.4547053649956025,1.88,0.0568072095268748,0.5592286252897616,2024-11-06,0.4191,amc,2523810052.0,2025-04-25,2024-09-30,0.0260081126222859,43.95640625,5494486.46875
2024-06-30,WMB,USD,107263,2024-08-05,2024-08-05 16:17:58,2024,Q2,2465000000.0,1516000000.0,949000000.0,0.384989858,0,0.0,0.0,171000000.0,33000000.0,171000000.0,1687000000.0,0.0,339000000.0,561000000.0,1434000000.0,0.5817444219,778000000.0,0.3156186613,-141000000.0,555000000.0,0.2251521298,129000000.0,401000000.0,0.1626774848,0.33,0.33,1219367000,1222236000,https://www.sec.gov/Archives/edgar/data/107263/000010726324000077/0000107263-24-000077-index.htm,https://www.sec.gov/Archives/edgar/data/107263/000010726324000077/wmb-20240630.htm,2.021540684633913,0.3288591539708718,1.0489048826153242,0.5740683485775816,0.0451053702453814,12.09315981160717,6.022797074219657,10.083920591585636,21.815417343588926,51688967130.0,77895967130.0,32.225041851620944,20.96915502231237,40.4135786786552,73.84138161428571,4.203722115322056,4.203722115322056,31.60079802434077,54.32075811018131,60.90380541829554,111.27995304285714,0.0077579418252151,0.0135425418395277,2.1358165256994144,0.5010971398042321,18.275453277545328,0.4503833049403747,2.2949852507374637,3.1895261845386536,0.0112016167501236,1.4438902743142146,0.0,0.0,0.1412352840161041,0.452697419859265,0.2348884381338742,1.032085561497326,0.00973630831643,8.637954959092566,0.011972324376342,0.0089097251538649,-29.87000632295281,-2581000000.0,7344000000.0,-35548000000.0,41523000000.0,1376500000.0,1117000000.0,256500000.0,51.04259634888438,70.76517150395779,16.266490765171504,1.7632331902718168,1.2718120805369129,5.532846715328467,0.032612231620039,0.4748365340377425,2024-08-05,0.3834,amc,2456840401.0,2025-04-25,2024-06-30,0.121544079290558,40.11253968253968,6310730.634920635
2024-03-31,WMB,USD,107263,2024-05-06,2024-05-06 16:17:55,2024,Q1,2780000000.0,1607000000.0,1173000000.0,0.421942446,0,0.0,0.0,152000000.0,31000000.0,152000000.0,1759000000.0,0.0,349000000.0,566000000.0,1770000000.0,0.6366906475,1021000000.0,0.3672661871,-166000000.0,855000000.0,0.3075539568,193000000.0,632000000.0,0.2273381295,0.52,0.52,1218155000,1222222000,https://www.sec.gov/Archives/edgar/data/107263/000010726324000063/0000107263-24-000063-index.htm,https://www.sec.gov/Archives/edgar/data/107263/000010726324000063/wmb-20240331.htm,2.2821397933760483,0.5188173918754182,1.0130073759086486,0.5664303803703141,0.5475493676913037,12.256239969462014,6.10267166329408,10.219553340913102,22.35840266632735,47349684850.0,73569684850.0,18.730096855221515,17.032260737410073,38.37089534035656,68.62273166666667,3.8034930396015754,3.8034930396015754,26.463915413669064,41.56479370056497,59.61886940842788,106.62273166666668,0.0133475017204892,0.0145724306758506,2.159771869226444,0.5097351508142643,14.813559322033898,0.5239911664324433,2.9255014326647566,1.95253164556962,0.0122281700888659,0.9161392405063292,0.0,0.0,0.1421123476216657,0.4408427876823338,0.19568345323741,0.96113074204947,0.0086330935251798,10.922309519302484,0.0156376210110331,0.0139665421758635,-29.564587429350123,-2371000000.0,7434000000.0,-35207000000.0,41576000000.0,1505000000.0,1210500000.0,256500000.0,43.86690647482015,58.35718730553827,13.385189794648412,2.0516605166051662,1.5422264875239924,6.7238493723849375,0.050767129889951,0.4465769955383346,2024-05-06,0.48,amc,2687206175.0,2025-04-25,2024-03-31,0.2291666666666666,35.53065573770492,7153113.7049180325
2023-12-31,WMB,USD,107263,2024-02-21,2024-02-21 16:07:47,2023,Q4,2784000000.0,977000000.0,1807000000.0,0.649066092,0,0.0,0.0,182000000.0,30000000.0,719000000.0,1696000000.0,63000000.0,322000000.0,545000000.0,2414000000.0,0.8670977011,1087000000.0,0.3904454023,460000000.0,1547000000.0,0.5556752874,370000000.0,1138000000.0,0.4087643678,0.93,0.93,1217000000,1222831582,https://www.sec.gov/Archives/edgar/data/107263/000010726324000019/0000107263-24-000019-index.htm,https://www.sec.gov/Archives/edgar/data/107263/000010726324000019/wmb-20231231.htm,2.28759244042728,0.9350862777321282,1.5858668857847165,0.923582580115037,1.7666392769104355,12.23582580115037,5.99671322925226,10.19063270336894,21.98849630238291,42388110000.0,66676110000.0,9.311974956063269,15.225614224137932,21.962751295336787,37.71184163701068,3.4178447024673435,3.4178447024673435,23.949752155172416,27.62059237779619,34.54720725388601,59.32038256227758,0.0268471512412325,0.0265168699430099,2.131752943073698,0.502365705816406,10.061309030654517,0.7740994854202401,3.375776397515528,1.6841186736474694,0.0128337875880759,0.4780316344463972,0.0,0.0,0.1442795523210519,0.4176165803108808,0.2895114942528735,1.5236294896030245,0.0064655172413793,14.642582356005123,0.0165791831359848,0.0252697961540169,-28.108258011503697,-1317000000.0,7298000000.0,-33223000000.0,40587000000.0,1537000000.0,1368500000.0,270000000.0,53.502155172413794,127.03172978505629,25.240532241555783,1.6821752265861027,0.7084844089920233,3.565693430656934,0.0917593936461861,0.6622843056696796,2024-02-14,0.4497,bmo,2644558164.0,2025-04-25,2023-12-31,0.067378252168112,35.09460317460317,6435314.603174604
2023-09-30,WMB,USD,107263,2023-11-01,2023-11-01 16:20:11,2023,Q3,2559000000.0,484000000.0,2075000000.0,0.8108636186,0,0.0,0.0,146000000.0,935000000.0,1081000000.0,1565000000.0,24000000.0,314000000.0,535000000.0,1351000000.0,0.5279406018,994000000.0,0.3884329816,-133000000.0,861000000.0,0.3364595545,176000000.0,654000000.0,0.2555685815,0.54,0.54,1216951000,1220073000,https://www.sec.gov/Archives/edgar/data/107263/000010726323000027/0000107263-23-000027-index.htm,https://www.sec.gov/Archives/edgar/data/107263/000010726323000027/wmb-20230930.htm,2.102796250629648,0.5374086549088665,1.014009602687372,0.437158110720974,1.704259251194173,11.786012748253627,5.65676021466764,9.733341769717926,21.33610967080844,40999079190.0,64576079190.0,15.672430883027523,16.021523716295427,33.224537431118314,77.06593832706767,3.461298369776277,3.461298369776277,25.234888311840564,47.79872626943005,52.330696264181526,121.3836075,0.0159515777651785,0.0129759011790137,2.1655550865344027,0.5050602504528628,17.451517394522575,0.7701773434672458,3.165605095541401,1.804093567251462,0.0132685906792922,0.8318042813455657,0.0,0.0,0.1468654012758919,0.5688816855753647,0.2743259085580304,1.3474088291746642,0.0074247753028526,10.848621914106367,0.0164270166413261,0.015093817074015,-27.25972532994344,-1270000000.0,6884000000.0,-32189000000.0,38817000000.0,1390500000.0,1252000000.0,262500000.0,49.90621336459554,252.5206611570248,49.46280991735537,1.80338266384778,0.3564064801178203,1.8195488721804511,0.0552131701139721,0.576851491966398,2023-11-01,0.41,amc,2584510000.0,2025-04-25,2023-09-30,0.1707317073170731,34.12698412698413,6107073.46031746
2023-06-30,WMB,USD,107263,2023-08-02,2023-08-02 16:21:08,2023,Q2,2483000000.0,421000000.0,2062000000.0,0.8304470399,0,0.0,0.0,161000000.0,1031000000.0,1192000000.0,1613000000.0,13000000.0,306000000.0,529000000.0,1150000000.0,0.463149416,870000000.0,0.3503826017,-114000000.0,756000000.0,0.3044703987,175000000.0,460000000.0,0.1852597664,0.38,0.38,1217673000,1219915000,https://www.sec.gov/Archives/edgar/data/107263/000010726323000021/0000107263-23-000021-index.htm,https://www.sec.gov/Archives/edgar/data/107263/000010726323000021/wmb-20230630.htm,2.0391353015136247,0.3777697296400593,1.1308454732920907,0.6183926226499232,0.4525024370253754,11.668978453164357,5.449738969329204,9.591244940144028,20.29691058272623,39732669990.0,63590669990.0,21.593842385869568,16.001880785340315,28.85451705882353,52.76583,3.402060963267404,3.402060963267404,25.610418844140156,55.29623477391304,46.18058822803195,84.44976094289508,0.011577374490961,0.0189516586775949,2.0899905813853925,0.4978888322284548,20.74608695652174,0.4901560178306092,2.843137254901961,2.7874493927125505,0.0137166719512473,1.184782608695652,0.0,0.0,0.1544722080571137,0.4531590413943355,0.2513089005235602,1.2116504854368932,0.0092629883205799,9.029055608360734,0.0143731697646311,0.0110971726334073,-27.194493102828098,-2745000000.0,6636000000.0,-32177000000.0,37174000000.0,1443000000.0,1202000000.0,251500000.0,49.36770036246476,244.9881235154394,55.36817102137767,1.8230543318649048,0.3673647469458987,1.6254826254826256,0.0393869338128264,0.5124528506421675,2023-08-02,0.39,amc,2700490000.0,2025-04-25,2023-06-30,0.1538461538461538,30.01225806451613,7138141.854838709
2023-03-31,WMB,USD,107263,2023-05-03,2023-05-03 16:20:14,2023,Q1,3081000000.0,1113000000.0,1968000000.0,0.6387536514,0,0.0,0.0,176000000.0,432000000.0,608000000.0,1721000000.0,0.0,294000000.0,506000000.0,1878000000.0,0.6095423564,1360000000.0,0.441415125,-119000000.0,1241000000.0,0.4027913015,284000000.0,927000000.0,0.3008763389,0.76,0.76,1219465000,1225781000,https://www.sec.gov/Archives/edgar/data/107263/000010726323000013/0000107263-23-000013-index.htm,https://www.sec.gov/Archives/edgar/data/107263/000010726323000013/wmb-20230331.htm,2.5265177762379403,0.7601694185564981,1.2415280471354242,0.7888705292894835,0.3911551377038291,11.74531454367284,5.463871451825185,9.664073999663788,20.259704050546755,36413224900.0,60348224900.0,9.820179314994606,11.818638396624472,24.0510071994716,37.85158513513514,3.089794221467968,3.089794221467968,19.5872200259656,32.13430505857295,39.86012212681638,62.73204251559252,0.0254577836087239,0.0264189728496143,2.0714467543487483,0.4988556481935589,12.744941427050051,0.685820895522388,4.625850340136054,1.633225458468177,0.0149945521578892,0.5889967637540453,0.0,0.0,0.1565309792381886,0.3645970937912813,0.1791626095423563,1.0909090909090908,0.0055176890619928,12.856613241723354,0.0225332944435827,0.0224585715670123,-26.955263168684628,-1263000000.0,6663000000.0,-31856000000.0,38492000000.0,2123500000.0,1792500000.0,282000000.0,44.51801363193768,101.72506738544476,19.73045822102426,2.0216535433070866,0.884737678855326,4.561475409836065,0.0786593126856173,0.4526575178459406,2023-05-03,0.46,amc,2611670000.0,2025-04-25,2023-03-31,0.2173913043478261,30.891290322580645,7289929.5
2022-12-31,WMB,USD,107263,2023-02-27,2023-02-27 08:24:01,2022,Q4,2930000000.0,1685000000.0,1245000000.0,0.4249146758,0,0.0,0.0,159000000.0,14000000.0,173000000.0,1858000000.0,12000000.0,289000000.0,520000000.0,1747000000.0,0.5962457338,1072000000.0,0.3658703072,-119000000.0,953000000.0,0.3252559727,256000000.0,669000000.0,0.2283276451,0.55,0.55,1218000000,1223744025,https://www.sec.gov/Archives/edgar/data/107263/000010726323000007/0000107263-23-000007-index.htm,https://www.sec.gov/Archives/edgar/data/107263/000010726323000007/wmb-20221231.htm,2.405582922824302,0.5492610837438424,1.000821018062397,0.3300492610837438,0.1247947454844006,11.5311986863711,5.486042692939245,9.429392446633829,19.041871921182267,40072200000.0,62824200000.0,14.974663677130042,13.676518771331056,32.87301066447908,99.6820895522388,3.489090117544623,3.489090117544623,21.44170648464164,35.96119061247853,51.53748974569319,156.27910447761195,0.01669486576729,0.0100318924341563,1.9942533739660424,0.4729007081948258,13.023468803663423,0.7764826175869121,3.709342560553633,1.7489239598278337,0.0129266673654054,0.7742899850523169,0.0,0.0,0.1520244461420932,0.6702214930270713,0.278839590443686,1.617821782178218,0.0051194539249146,10.794997085288731,0.0176009333971082,0.0162892622352081,-26.30028735632184,-1093000000.0,6682000000.0,-30591000000.0,37159000000.0,2691000000.0,2470000000.0,383500000.0,83.64163822525597,124.2908011869436,17.091988130563795,1.0760190965846492,0.7241082939406962,5.265625,0.0582498911623857,0.6707717569786535,2023-02-20,0.49,amc,2916388311.0,2025-04-25,2022-12-31,0.1224489795918368,32.55539682539682,6473094.492063492
