date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare,report_date,epsEstimated,time,revenueEstimated,updatedFromDate,fiscalDateEnding,surprise(%),QuarterAvgPrice,QuarterAvgVolume
2025-03-31,XOM,USD,34088,2025-05-05,2025-05-05 12:41:41,2025,Q1,83130000000.0,56871000000.0,26259000000.0,0.3158787441,0,2540000000.0,0.0,2540000000.0,12119000000.0,14659000000.0,71530000000.0,0.0,205000000.0,5702000000.0,17507000000.0,0.2105978588,-14100000.0,-0.0001696139,11614100000.0,11600000000.0,0.1395404788,3567000000.0,7713000000.0,0.092782389,1.76,1.76,4462000000,4462000000,https://www.sec.gov/Archives/edgar/data/34088/000003408825000024/0000034088-25-000024-index.htm,https://www.sec.gov/Archives/edgar/data/34088/000003408825000024/xom-20250331.htm,18.630658897355445,1.728597041685343,2.9029583146571043,1.5811295383236217,4.148812191842223,60.4675033617212,55.94576423128642,60.4675033617212,14.36575526669655,530665660000.0,576048660000.0,17.200364968235448,6.383563815710334,40.96855245888984,75.21837845499645,1.966841582470368,1.966841582470368,6.9294918801876575,32.90390472382476,44.47221956303559,81.65112119064493,0.0145345753105637,0.0132946232096495,0.2368183064868831,0.1413893978420386,2.59227737476438,1.235733925693156,-0.068780487804878,1.6124735466201916,0.0081689853456882,0.5620381174640218,0.0305545531095873,0.0,0.0446462554325216,0.4553385316142978,0.070949115842656,0.0,0.0,48.49524530463085,-2.5506978712510483e-05,0.0178652497382635,-28.88004258180188,17404000000.0,249630000000.0,-90869000000.0,330226000000.0,44992000000.0,18072500000.0,11762000000.0,50.1295561169253,0.0,0.0,1.795348033604734,0.0,0.0,0.0285872071043638,1.3218287763334828,2025-05-02,1.75,bmo,86351703669.0,2025-05-11,2025-03-31,0.0057142857142857,110.59825,16012623.95
2024-12-31,XOM,USD,34088,2025-02-19,2025-02-19 16:39:37,2024,Q4,81058000000.0,63811000000.0,17247000000.0,0.2127735695,0,2617000000.0,0.0,2617000000.0,6857000000.0,9474000000.0,73285000000.0,0.0,297000000.0,6585000000.0,16695000000.0,0.205963631,7773000000.0,0.0958942979,2040000000.0,9813000000.0,0.1210614622,1858000000.0,7610000000.0,0.0938833921,1.71,1.71,4462000000,4462000000,https://www.sec.gov/Archives/edgar/data/34088/000003408825000010/0000034088-25-000010-index.htm,https://www.sec.gov/Archives/edgar/data/34088/000003408825000010/xom-20241231.htm,18.16629314208875,1.7055132227700582,2.740699238009861,1.2084267144778127,5.196548632900045,60.64679515912147,56.17189601075751,59.1001792917974,9.414388166741372,479977340000.0,498500340000.0,15.76798094612352,5.921406153618396,39.24910785836945,89.01656899109793,1.8201298420583605,1.8201298420583605,6.1499215376643885,29.859259658580413,40.76378608226347,92.4518434718101,0.015854915150786,0.0112338636653138,0.1581691663032555,0.0919786096256684,1.1094938604372566,1.3084045685351386,26.171717171717173,1.606964520367937,0.0091066799111808,0.5743758212877792,0.0322855239458165,0.0,0.0440310932245438,0.5590808733338785,0.0843470107824027,1.0382687927107062,0.0,47.62261110156012,0.0162352011292804,0.017554462662742,-25.80888614970865,21683000000.0,250639000000.0,-90879000000.0,335968000000.0,42593000000.0,48331500000.0,23699500000.0,48.4997162525599,50.9794549529078,33.17860556957264,1.8556809596849888,1.7654170701341818,2.712591396021085,0.0288580042092489,1.5322725235320485,2025-01-31,1.77,bmo,86333750492.0,2025-05-01,2024-12-31,-0.0564971751412429,116.975,14816283.53125
2024-09-30,XOM,USD,34088,2024-11-04,2024-11-04 12:56:10,2024,Q3,87792000000.0,67400000000.0,20392000000.0,0.2322762894,0,2296000000.0,0.0,2296000000.0,7054000000.0,9350000000.0,76750000000.0,0.0,207000000.0,6258000000.0,19491000000.0,0.2220133953,11042000000.0,0.125774558,1984000000.0,13026000000.0,0.1483734281,4055000000.0,8610000000.0,0.0980727173,1.93,1.93,4462000000,4462000000,https://www.sec.gov/Archives/edgar/data/34088/000003408824000068/0000034088-24-000068-index.htm,https://www.sec.gov/Archives/edgar/data/34088/000003408824000068/xom-20240930.htm,19.675481846705512,1.9296279695203944,3.937471985656656,2.5569251456745854,6.044822949350067,61.94531600179292,57.65239802779023,60.1954280591663,9.582474226804123,523035640000.0,538613640000.0,15.186865272938444,5.957668580280664,29.770370539017588,45.84412656674555,1.9473239709298864,1.9473239709298864,6.135110716238382,27.633966446052025,30.65704593317776,47.20953983697081,0.0164615933246919,0.0218130450919176,0.1584187168642402,0.0921163155205708,0.799240675183418,1.347977654908348,53.34299516908212,2.040534262485482,0.0081065221482803,0.4924506387921022,0.0261527246218334,0.0,0.0414685787026212,0.350617565029313,0.0701658465463823,0.9843400447427292,0.0,51.12223182192803,0.0191284731529643,0.0194461571818656,-25.880266696548635,24356000000.0,257245000000.0,-91167000000.0,343054000000.0,42288000000.0,60312500000.0,24189000000.0,42.54886550027337,80.81038575667657,31.880563798219587,2.115215034333213,1.113718232591956,2.8230366492146595,0.0320560552808721,1.3805468399820708,2024-11-01,1.88,bmo,89966012027.0,2025-04-24,2024-09-30,0.0212765957446808,115.46734375,13798026.578125
2024-06-30,XOM,USD,34088,2024-08-05,2024-08-05 13:15:44,2024,Q2,89986000000.0,69790000000.0,20196000000.0,0.2244349121,0,2568000000.0,0.0,2568000000.0,6732000000.0,9300000000.0,79090000000.0,0.0,271000000.0,5787000000.0,19723000000.0,0.2191785389,10896000000.0,0.1210855022,2769000000.0,13665000000.0,0.1518569555,4094000000.0,9240000000.0,0.1026826395,2.14,2.14,4317000000,4317000000,https://www.sec.gov/Archives/edgar/data/34088/000003408824000050/0000034088-24-000050-index.htm,https://www.sec.gov/Archives/edgar/data/34088/000003408824000050/xom-20240630.htm,20.84456798702803,2.1403752605976374,2.4461431549687283,1.001853138753764,4.47787815612694,63.99490386842715,59.77021079453324,62.173963400509614,10.06648135279129,496282320000.0,512980320000.0,13.427551948051946,5.515105905363057,46.99643181818182,114.74735722543352,1.8490054954266872,1.8490054954266872,5.700668103927278,26.00924402981291,48.577681818181816,118.60816647398843,0.0186184347651151,0.0087147976579137,0.1608986419776084,0.0937385366404243,0.8466257668711656,1.3600045221372752,40.20664206642066,1.1428571428571428,0.0086341983732162,0.4637445887445887,0.0285377725423954,0.0,0.0395869826158491,0.5904356060606061,0.0692885559975996,1.0774148954553309,0.0,54.719295455117646,0.0192442235457695,0.0208828189093473,-27.925700718091267,25475000000.0,258028000000.0,-88203000000.0,341996000000.0,41718500000.0,59819000000.0,23997000000.0,43.07770097570733,77.51296747385013,31.598653102163635,2.089247985883773,1.1610960453857289,2.848222666612251,0.0344255881969411,1.444290016214964,2024-08-02,2.01,bmo,93450126536.0,2025-04-24,2024-06-30,0.064676616915423,116.46746031746032,18243766.34920635
2024-03-31,XOM,USD,34088,2024-04-29,2024-04-29 13:11:41,2024,Q1,83130000000.0,56871000000.0,26259000000.0,0.3158787441,0,2540000000.0,0.0,2540000000.0,12119000000.0,14659000000.0,70470000000.0,0.0,205000000.0,4812000000.0,17402000000.0,0.2093347769,11600000000.0,0.1395404788,2428000000.0,11600000000.0,0.1395404788,3567000000.0,8220000000.0,0.0988812703,2.06,2.06,3998000000,3998000000,https://www.sec.gov/Archives/edgar/data/34088/000003408824000029/0000034088-24-000029-index.htm,https://www.sec.gov/Archives/edgar/data/34088/000003408824000029/xom-20240331.htm,20.792896448224116,2.0560280140070035,3.6678339169584793,2.398699349674837,8.341420710355177,53.76713356678339,49.46248124062031,51.33816908454227,10.166333166583293,467726020000.0,474817020000.0,14.225243917274938,5.626440755443282,31.896209765411893,48.772264859228365,2.278811303288672,2.278811303288672,5.711740887766149,27.28519825307436,32.37977495908347,49.51168091762252,0.0175743910933157,0.0205034562755349,0.1970280146163215,0.1070073402166607,0.4074818986323411,1.3817522003309186,56.58536585365854,1.783941605839416,0.0081415184043,0.4632603406326034,0.0305545531095873,0.0,0.0455389793553098,0.3460174577195853,0.0610369301094671,1.0544472152950957,0.0,48.73331572012171,0.0255645654055705,0.0227885159186932,-21.90795397698849,27456000000.0,197751000000.0,-63580000000.0,258389000000.0,39190500000.0,45390000000.0,24305500000.0,43.701912666907255,94.20952682386454,37.17518594714353,2.0594064311549323,0.9553173976583628,2.4209697330892683,0.0400487210718635,1.2691345672836418,2024-04-26,2.2,bmo,82226063500.0,2025-04-24,2024-03-31,-0.0636363636363636,104.62836065573772,18492823.147540983
2023-12-31,XOM,USD,34088,2023-12-31,2023-12-30 19:00:00,2023,Q4,81688000000.0,63985000000.0,17703000000.0,0.2167148174,0,2591000000.0,0.0,2591000000.0,6654000000.0,9245000000.0,73230000000.0,0.0,272000000.0,7740000000.0,18637000000.0,0.2281485653,8458000000.0,0.1035402997,2167000000.0,10625000000.0,0.1300680639,2613000000.0,7630000000.0,0.093404172,1.92,1.9,3971000000,4010000000,https://www.sec.gov/Archives/edgar/data/34088/000003408824000018/0000034088-24-000018-index.html,https://www.sec.gov/Archives/edgar/data/34088/000003408824000018/0000034088-24-000018-index.html,20.571140770586755,1.921430370183833,3.445479728028205,1.877109040543944,7.949634852681944,53.52253840342483,53.52253840342483,51.57441450516243,12.0828506673382,406471560000.0,422612560000.0,13.318203145478376,4.975902947801391,29.70848998684403,54.53066273141937,1.98470503217742,1.98470503217742,5.173496229556361,22.67599720985137,30.88821517322029,56.69607727394688,0.0187713009982789,0.0183383063749896,0.2329518266423179,0.1267787530193958,0.8660728658045823,1.4791015983832445,31.09558823529412,1.7931847968545216,0.0094446952204971,0.5031454783748361,0.0317182450298697,0.0,0.0,0.4551966086829411,0.0762413083929096,0.8046511627906977,0.0074796787777886,47.21942971892021,0.0202415462050459,0.0202754592537674,-22.951334676403928,31293000000.0,212538000000.0,-67170000000.0,246233000000.0,39914500000.0,46753000000.0,24785000000.0,41.88314073058466,43.9542080175041,35.33328123779011,2.1488359857950807,2.047585522736727,2.547173566878981,0.0372554955518012,1.568370687484261,2024-02-02,2.21,bmo,85234100000.0,2025-04-24,2023-12-31,0.1221719457013574,105.10301587301586,21925149.17460317
2023-09-30,XOM,USD,34088,2023-10-31,2023-10-31 10:46:09,2023,Q3,88570000000.0,66187000000.0,22383000000.0,0.2527153664,0,2489000000.0,0.0,2489000000.0,8050000000.0,10539000000.0,76726000000.0,0.0,169000000.0,4415000000.0,18283000000.0,0.2064242972,11844000000.0,0.1337247375,1855000000.0,13699000000.0,0.1546686237,4353000000.0,9070000000.0,0.1024048775,2.25,2.25,4025000000,4025000000,https://www.sec.gov/Archives/edgar/data/34088/000003408823000056/0000034088-23-000056-index.htm,https://www.sec.gov/Archives/edgar/data/34088/000003408823000056/xom-20230930.htm,22.00496894409937,2.253416149068323,3.965962732919255,2.7436024844720497,8.184844720496894,51.56099378881988,47.2904347826087,49.61565217391304,10.291180124223605,473259500000.0,481568500000.0,13.044638919514885,5.34333860223552,29.647278080561296,42.85606266413112,2.369816677766483,2.369816677766483,5.437151405667834,26.33968714106,30.167794274259226,43.60848501313049,0.0191649612950189,0.0233339214532407,0.2065717590622073,0.1108180057433131,0.4544658972816277,1.4208130812238362,70.0828402366864,1.7080034239246735,0.0077399397159486,0.4038588754134509,0.0281020661623574,0.0,0.0461748406351491,0.3082127419657959,0.0555492830529524,1.1143827859569648,0.0,50.15581737688243,0.0264225729849626,0.0255442588785309,-21.91217391304348,29956000000.0,190344000000.0,-63584000000.0,253007000000.0,38864500000.0,58330500000.0,24349500000.0,42.489104662978434,84.65605028177738,33.246710079018534,2.118190079877553,1.0631254316783656,2.707034764826176,0.0454174449056849,1.222360248447205,2023-10-27,2.37,bmo,83760000000.0,2025-04-24,2023-09-30,-0.0421940928270042,109.68492063492064,15666129.92063492
2023-06-30,XOM,USD,34088,2023-08-01,2023-08-01 10:44:12,2023,Q2,80795000000.0,60700000000.0,20095000000.0,0.2487158859,0,2449000000.0,0.0,2449000000.0,7696000000.0,10145000000.0,70845000000.0,0.0,249000000.0,4242000000.0,16147000000.0,0.199851476,9950000000.0,0.1231511851,1706000000.0,11656000000.0,0.1442663531,3503000000.0,7880000000.0,0.0975307878,1.94,1.94,4066000000,4066000000,https://www.sec.gov/Archives/edgar/data/34088/000003408823000048/0000034088-23-000048-index.htm,https://www.sec.gov/Archives/edgar/data/34088/000003408823000048/xom-20230630.htm,19.87088047220856,1.938022626660108,2.3076733890801773,0.9896704377766848,7.26217412690605,50.90924741760944,46.61042793900639,48.95376291195278,10.266847024102312,436078500000.0,448046500000.0,13.834977791878172,5.397345132743363,46.47538100820633,108.36940854870775,2.190842820252605,2.190842820252605,5.545473110959836,27.74797175945996,47.75087924970692,111.34356361829026,0.0180701410411198,0.0092276963895261,0.208474422997699,0.1142360040523278,0.741190313990215,1.4844293456280837,39.95983935742972,1.150864712375813,0.0084870040600488,0.4696700507614213,0.0303112816387152,0.0,0.0481186407082764,0.57113929446872,0.0663283619035831,1.2633191890617632,0.0,46.20231329846132,0.0227916618531726,0.0227897816172068,-21.55982538121004,29945000000.0,189518000000.0,-64491000000.0,254160000000.0,37361500000.0,57169500000.0,23945500000.0,40.0068073519401,80.66490939044482,35.954036243822074,2.2496171516079637,1.1157267847952357,2.503196008082808,0.0395888387608894,1.3180029513034923,2023-07-28,2.01,bmo,81482000000.0,2025-04-24,2023-06-30,-0.034825870646766,109.10887096774194,15321301.967741936
2023-03-31,XOM,USD,34088,2023-05-02,2023-05-02 13:24:25,2023,Q1,83644000000.0,59683000000.0,23961000000.0,0.286464062,0,2390000000.0,0.0,2390000000.0,7362000000.0,9752000000.0,69435000000.0,0.0,159000000.0,4244000000.0,21206000000.0,0.2535268519,14209000000.0,0.1698747071,2594000000.0,16803000000.0,0.2008870929,4960000000.0,11430000000.0,0.1366505667,2.79,2.79,4102000000,4102000000,https://www.sec.gov/Archives/edgar/data/34088/000003408823000030/0000034088-23-000030-index.htm,https://www.sec.gov/Archives/edgar/data/34088/000003408823000030/xom-20230331.htm,20.39102876645539,2.786445636274988,3.98366650414432,2.664310092637738,7.959775719161384,50.32033154558752,46.156509019990246,48.436128717698686,10.14261335933691,449825320000.0,458620320000.0,9.838699037620296,5.377855195829946,27.527404687595617,41.15887272394546,2.2640124820696075,2.2640124820696075,5.483003204055282,21.626913137791192,28.065621442996143,41.96361240735657,0.0254098635443642,0.0242960978719472,0.2086015552256084,0.1122069680619214,0.4147411110063189,1.4583745837458375,89.36477987421384,1.37980241492865,0.0083098923822251,0.3270341207349081,0.028573478073741,0.0,0.0462407714736674,0.3311914815494767,0.0647027880063124,1.2752120640904807,0.0,55.10630080878607,0.0328350099998394,0.032444768671354,-21.789127254997563,30558000000.0,189334000000.0,-65733000000.0,253661000000.0,40278500000.0,46552000000.0,24038500000.0,41.75697001578117,90.38000770738736,35.65135800814302,2.1553287981859413,0.9957954450654876,2.524448016242281,0.0575282482321262,1.319356411506582,2023-04-28,2.59,bmo,85405400000.0,2025-04-24,2023-03-31,0.0926640926640927,110.60935483870968,16994416.48387097
2022-12-31,XOM,USD,34088,2023-02-22,2023-02-22 16:37:14,2022,Q4,93164000000.0,66190000000.0,26974000000.0,0.2895324374,0,2832000000.0,0.0,2832000000.0,7258000000.0,10090000000.0,76280000000.0,0.0,207000000.0,5064000000.0,24113000000.0,0.2588231506,16884000000.0,0.1812288008,1958000000.0,18842000000.0,0.2022455026,5787000000.0,12750000000.0,0.1368554377,3.12,3.08,4082000000,4138000000,https://www.sec.gov/Archives/edgar/data/34088/000003408823000020/0000034088-23-000020-index.htm,https://www.sec.gov/Archives/edgar/data/34088/000003408823000020/xom-20221231.htm,22.82312591866732,3.123468887800098,4.316756491915728,2.9000489955903967,7.261146496815287,49.60142087212151,45.44879960803528,47.78270455658991,10.142087212150908,450244600000.0,461797600000.0,8.828325490196079,4.832817397277919,25.551591850632768,38.03384017570536,2.308366615568396,2.308366615568396,4.95682452449444,19.15139551279393,26.20723000964757,39.009765163034295,0.028317940959203,0.0262923753000035,0.211193084814585,0.1116138804065386,0.4791191473479036,1.414019842131943,81.56521739130434,1.349751053236308,0.0083665634190837,0.2954509803921568,0.0303980078141771,0.0,0.0459293299048682,0.3281879575506498,0.0620733330470997,1.1419826224328593,0.0069554763642608,57.948902481347154,0.0389094726712749,0.0362096581808267,-22.88700391964723,28586000000.0,185522000000.0,-68963000000.0,250229000000.0,42080000000.0,47859500000.0,24265500000.0,40.33113649048989,45.10061942891676,33.22480737271491,2.231526503628829,1.9955380023515936,2.708819316554123,0.0653681895318612,1.4167074963253308,2023-01-31,3.29,bmo,97345192556.0,2025-04-24,2022-12-31,0.033434650455927,107.14333333333332,18669815.85714286
