date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare,report_date,epsEstimated,time,revenueEstimated,updatedFromDate,fiscalDateEnding,surprise(%),QuarterAvgPrice,QuarterAvgVolume
2025-03-31,YUM,USD,1041061,2025-04-30,2025-04-30 07:01:37,2025,Q1,1787000000.0,520000000.0,1267000000.0,0.0,0,302000000.0,0.0,302000000.0,0.0,302000000.0,822000000.0,0.0,120000000.0,45000000.0,890000000.0,,965000000.0,,-536000000.0,429000000.0,0.0,176000000.0,253000000.0,0.0,0.91,0.9,280000000,282000000,https://www.sec.gov/Archives/edgar/data/1041061/000104106125000021/0001041061-25-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1041061/000104106125000021/a8kex9914302025.htm,0.0,0.0,,,,,,,,44060800000.00001,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0045119471276054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2025-04-30,1.29,bmo,1852722277.0,2025-05-11,2025-03-31,0.0077519379844961,144.05249999999998,2162066.933333333
2024-12-31,YUM,USD,1041061,2025-02-19,2025-02-19 17:26:39,2024,Q4,2362000000.0,1313000000.0,1049000000.0,0.4441151566,0,351000000.0,0.0,351000000.0,41000000.0,392000000.0,1705000000.0,0.0,131000000.0,55000000.0,714000000.0,0.3022861981,657000000.0,0.2781541067,-129000000.0,528000000.0,0.2235393734,105000000.0,423000000.0,0.1790855207,1.51,1.49,280000000,283000000,https://www.sec.gov/Archives/edgar/data/1041061/000104106125000013/0001041061-25-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1041061/000104106125000013/yum-20241231.htm,8.435714285714285,1.5107142857142857,1.832142857142857,1.4535714285714283,2.525,-27.314285714285717,-31.428571428571427,-27.314285714285717,44.34642857142857,37564800000.0,49234800000.0,22.201418439716317,15.90381033022862,73.22573099415204,92.29680589680588,-4.911715481171548,-4.911715481171548,20.844538526672316,68.9563025210084,95.97426900584796,120.97002457002456,0.0112605417837975,0.0108346111253087,-1.6064330543933054,1.8263713393786232,16.34453781512605,1.4743892828999212,5.015267175572519,1.2127659574468086,0.0049780645710878,0.442080378250591,0.1486028789161727,0.0,0.1712501858183439,0.2066276803118908,0.0448772226926333,1.9272727272727272,0.0071972904318374,,0.0943950127168384,0.0758744394618834,-46.59107142857143,602000000.0,-8800000000.0,-12504000000.0,3939000000.0,769000000.0,693500000.0,0.0,31.625740897544453,17.06778370144707,0.0,2.8457831325301206,5.273092369477912,0.0,-0.0553085774058577,0.3785714285714285,2025-02-06,1.6,bmo,2355649128.0,2025-05-06,2024-12-31,0.00625,135.2659375,1654661.96875
2024-09-30,YUM,USD,1041061,2024-11-07,2024-11-07 15:51:36,2024,Q3,1826000000.0,960000000.0,866000000.0,0.4742606791,0,263000000.0,0.0,263000000.0,-16000000.0,263000000.0,1207000000.0,0.0,120000000.0,44000000.0,666000000.0,0.3647316539,619000000.0,0.338992333,-117000000.0,502000000.0,0.2749178532,120000000.0,382000000.0,0.2092004381,1.35,1.34,282000000,286000000,https://www.sec.gov/Archives/edgar/data/1041061/000104106124000039/0001041061-24-000039-index.htm,https://www.sec.gov/Archives/edgar/data/1041061/000104106124000039/yum-20240930.htm,6.475177304964539,1.3546099290780145,1.6879432624113475,1.50354609929078,1.9432624113475176,-27.21276595744681,-31.29432624113475,-27.21276595744681,40.11702127659574,39398220000.0,50134220000.0,25.78417539267016,21.576243154435925,82.76936974789916,92.92033018867924,-5.13398749022674,-5.13398749022674,27.455761226725084,75.2766066066066,105.32399159663863,118.24108490566036,0.0096958695088255,0.0107619075176492,-1.4585613760750586,1.732394366197183,16.12012012012012,1.370151770657673,5.158333333333333,1.2460732984293197,0.0047717891823539,0.4921465968586387,0.1440306681270536,0.0,0.1781457978641077,0.1092436974789916,0.0284775465498357,0.0,0.0,,0.0888907100415097,0.071939736346516,-46.297872340425535,439000000.0,-8825000000.0,-12510000000.0,2890000000.0,720500000.0,1118000000.0,0.0,34.895947426067906,106.6875,0.0,2.57909604519774,0.843585237258348,0.0,-0.0497784727651811,0.1843971631205673,2024-11-05,1.42,bmo,1897590351.0,2025-04-25,2024-09-30,-0.0352112676056336,132.9340625,1975738.015625
2024-06-30,YUM,USD,1041061,2024-08-08,2024-08-08 17:12:38,2024,Q2,1763000000.0,894000000.0,869000000.0,0.4929098128,0,280000000.0,25000000.0,281000000.0,5000000.0,276000000.0,1170000000.0,0.0,121000000.0,41000000.0,675000000.0,0.3828701078,593000000.0,0.3363584799,-120000000.0,487000000.0,0.2762336926,120000000.0,367000000.0,0.2081678956,1.3,1.28,282000000,286000000,https://www.sec.gov/Archives/edgar/data/1041061/000104106124000033/0001041061-24-000033-index.htm,https://www.sec.gov/Archives/edgar/data/1041061/000104106124000033/yum-20240630.htm,6.25177304964539,1.301418439716312,1.2127659574468086,1.0354609929078014,2.49290780141844,-27.05673758865248,-31.081560283687946,-27.05673758865248,43.02482269503546,36575400000.0,48000400000.0,24.915122615803813,20.746114577424844,106.9456140350877,125.2582191780822,-4.793630406290957,-4.793630406290957,27.22654566080545,71.11170370370371,140.35204678362572,164.3849315068493,0.0100340666130787,0.0079835080409236,-1.5743119266055046,1.8783424550430023,16.925925925925927,1.4392605633802815,4.900826446280992,0.9318801089918256,0.0051400668208686,0.5122615803814714,0.1588201928530913,0.0,0.1774824081313526,0.1461988304093567,0.0283607487237663,1.2195121951219512,0.0085082246171298,,0.0843330635008038,0.0697718631178707,-45.29166666666666,499000000.0,-8765000000.0,-12390000000.0,3771000000.0,709500000.0,1096500000.0,-14000000.0,37.41917186613727,110.53691275167785,0.0,2.405184174624829,0.8142076502732241,0.0,-0.0480996068152031,0.1773049645390071,2024-08-06,1.33,bmo,1805390320.0,2025-04-25,2024-06-30,0.0150375939849624,137.63809523809525,2043205.2222222225
2024-03-31,YUM,USD,1041061,2024-05-07,2024-05-07 16:58:29,2024,Q1,1598000000.0,798000000.0,800000000.0,0.5006257822,0,284000000.0,-2000000.0,286000000.0,6000000.0,286000000.0,1084000000.0,117000000.0,117000000.0,35000000.0,586000000.0,0.3667083855,514000000.0,0.3216520651,-137000000.0,383000000.0,0.2396745932,69000000.0,314000000.0,0.1964956195,1.11,1.1,282000000,286000000,https://www.sec.gov/Archives/edgar/data/1041061/000104106124000020/0001041061-24-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1041061/000104106124000020/yum-20240331.htm,5.666666666666667,1.1134751773049645,1.2872340425531914,1.1134751773049645,2.4113475177304964,-27.50354609929078,-31.088652482269502,-27.50354609929078,40.0886524822695,39612540000.0,50148540000.0,31.53864649681529,24.788823529411765,109.12545454545456,126.15458598726114,-5.107341413099536,-5.107341413099536,31.38206508135169,85.57771331058021,138.1502479338843,159.7087261146497,0.0079267827814121,0.0079267827814121,-1.442496132026818,1.7975578406169666,17.97952218430034,1.4932659932659933,4.3931623931623935,1.1560509554140128,0.0047712163875378,0.6019108280254777,0.1777221526908635,0.0,0.1624357326478149,0.1349862258953168,0.0306633291614518,1.4,0.0143929912390488,,0.0824333876773843,0.0602340303088432,-45.38829787234042,586000000.0,-8767000000.0,-12206000000.0,2787000000.0,711500000.0,663000000.0,-26000000.0,38.63579474342929,123.49624060150376,-3.1578947368421053,2.3294460641399417,0.7287671232876712,-28.5,-0.0404847859721505,0.1737588652482269,2024-05-01,1.2,bmo,1710255187.0,2025-04-25,2024-03-31,-0.0416666666666667,133.53131147540984,1942932.9672131147
2023-12-31,YUM,USD,1041061,2024-02-20,2024-02-20 16:33:54,2023,Q4,2036000000.0,1063000000.0,973000000.0,0.4778978389,0,352000000.0,1000000.0,353000000.0,7000000.0,353000000.0,1416000000.0,146000000.0,132000000.0,96000000.0,494000000.0,0.242632613,620000000.0,0.304518664,-145000000.0,464000000.0,0.2278978389,1000000.0,463000000.0,0.2274066798,1.65,1.62,281000000,285000000,https://www.sec.gov/Archives/edgar/data/1041061/000104106124000011/0001041061-24-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1041061/000104106124000011/yum-20231231.htm,7.245551601423488,1.6476868327402134,1.594306049822064,1.217081850533808,1.907473309608541,-27.964412811387906,-31.590747330960856,-27.964412811387906,40.30960854092527,36715460000.0,47398460000.0,19.82476241900648,18.033133595284877,81.95415178571429,107.3551461988304,-4.672367014507508,-4.672367014507508,23.280186640471516,95.9482995951417,105.80013392857144,138.59198830409358,0.0126104916021752,0.0093148771661855,-1.4246627640621023,1.7966618520301718,21.625506072874497,1.259984338292874,4.696969696969697,0.9676025917926566,0.0046302021001507,0.367170626349892,0.1728880157170923,0.0,0.1635371529449526,0.2366071428571428,0.0520628683693516,2.163265306122449,0.0127701375245579,,0.1216405413101549,0.0888334612432847,-46.30693950177936,332000000.0,-8877000000.0,-12480000000.0,2548000000.0,692000000.0,632500000.0,-27500000.0,32.578585461689585,19.55785512699906,-2.0319849482596424,2.762550881953867,4.6017316017316015,-44.29166666666666,-0.0589208449987274,0.3772241992882562,2024-02-07,1.4,bmo,2106390000.0,2025-04-25,2023-12-31,-0.0999999999999999,124.8109523809524,1557116.4285714286
2023-09-30,YUM,USD,1041061,2023-11-07,2023-11-07 15:09:01,2023,Q3,1708000000.0,848000000.0,860000000.0,0.5035128806,0,265000000.0,0.0,265000000.0,1000000.0,265000000.0,1113000000.0,110000000.0,126000000.0,37000000.0,662000000.0,0.387587822,613000000.0,0.3588992974,-108000000.0,505000000.0,0.2956674473,89000000.0,416000000.0,0.243559719,1.48,1.45,281000000,286000000,https://www.sec.gov/Archives/edgar/data/1041061/000104106123000050/0001041061-23-000050-index.htm,https://www.sec.gov/Archives/edgar/data/1041061/000104106123000050/yum-20230930.htm,6.07829181494662,1.480427046263345,1.697508896797153,1.4946619217081851,2.4448398576512456,-29.14590747330961,-32.729537366548044,-29.14590747330961,41.462633451957295,35108140000.0,45977140000.0,21.09864182692308,20.555117096018737,73.60197064989518,83.59080952380953,-4.286708180708181,-4.286708180708181,26.91870023419204,69.45187311178248,96.38813417190777,109.46938095238096,0.0118491039399979,0.0119630376317287,-1.407203907203907,1.8983692966562349,16.41842900302115,1.1336436170212767,4.865079365079365,1.1466346153846154,0.0048136984756241,0.40625,0.1551522248243559,0.0,0.1658705320375555,0.1194968553459119,0.0333723653395784,1.5405405405405406,0.0128805620608899,,0.1022199062011464,0.0821484992101105,-46.63434163701068,201000000.0,-9197000000.0,-12556000000.0,2365000000.0,651500000.0,1048500000.0,-32000000.0,34.09250585480094,109.74056603773585,-3.2900943396226414,2.6398763523956723,0.8201160541586073,-27.35483870967742,-0.0507936507936507,0.2028469750889679,2023-11-01,1.28,bmo,1774750000.0,2025-04-25,2023-09-30,0.1249999999999999,131.54857142857142,1444798.634920635
2023-06-30,YUM,USD,1041061,2023-08-07,2023-08-07 16:58:27,2023,Q2,1687000000.0,835000000.0,852000000.0,0.5050385299,0,290000000.0,0.0,290000000.0,-5000000.0,290000000.0,1125000000.0,96000000.0,125000000.0,38000000.0,619000000.0,0.3669235329,573000000.0,0.3396561944,-95000000.0,478000000.0,0.2833432128,60000000.0,418000000.0,0.2477771191,1.49,1.46,281000000,286000000,https://www.sec.gov/Archives/edgar/data/1041061/000104106123000041/0001041061-23-000041-index.htm,https://www.sec.gov/Archives/edgar/data/1041061/000104106123000041/yum-20230630.htm,6.00355871886121,1.4875444839857652,1.1530249110320283,0.9395017793594306,1.6725978647686832,-30.02135231316726,-33.61565836298932,-30.02135231316726,41.61209964412812,38932550000.0,50063550000.0,23.28501794258373,23.07797866034381,120.1621913580247,147.4717803030303,-4.615048601232812,-4.615048601232812,29.67608180201541,80.8781098546042,154.51712962962964,189.63465909090908,0.010736517387122,0.0067809583497613,-1.37126600284495,1.9781121751025992,17.982229402261712,1.0188298587760591,4.584,0.7751196172248804,0.0043665262100735,0.4066985645933014,0.1719027860106698,0.0,0.1727086183310533,0.1851851851851851,0.0355660936573799,1.5789473684210529,0.0130409010077059,,0.1053343102391278,0.0863993385696568,-47.46797153024911,28000000.0,-9446000000.0,-12769000000.0,2200000000.0,639000000.0,1095500000.0,-28500000.0,34.99703615886189,114.5748502994012,-3.55688622754491,2.5716463414634148,0.7855126999059266,-25.303030303030305,-0.0495495495495495,0.2135231316725978,2023-08-02,1.24,bmo,1745690000.0,2025-04-25,2023-06-30,0.1370967741935483,135.57612903225805,1765957.7096774194
2023-03-31,YUM,USD,1041061,2023-05-09,2023-05-08 17:46:40,2023,Q1,1645000000.0,834000000.0,811000000.0,0.4930091185,0,282000000.0,0.0,282000000.0,-2000000.0,280000000.0,1116000000.0,130000000.0,130000000.0,29000000.0,558000000.0,0.3392097264,523000000.0,0.3179331307,-152000000.0,371000000.0,0.2255319149,71000000.0,300000000.0,0.1823708207,1.07,1.05,281000000,285000000,https://www.sec.gov/Archives/edgar/data/1041061/000104106123000025/0001041061-23-000025-index.htm,https://www.sec.gov/Archives/edgar/data/1041061/000104106123000025/yum-20230331.htm,5.854092526690391,1.0676156583629892,1.2419928825622777,1.0213523131672595,1.3274021352313168,-31.224199288256223,-34.74733096085409,-31.224199288256223,42.26690391459075,37114480000.0,48512480000.0,30.92873333333334,22.561993920972643,106.34521489971348,129.3187456445993,-4.230052427627081,-4.230052427627081,29.490869300911857,86.93992831541219,139.00424068767907,169.033031358885,0.0080830985642261,0.0077328309597763,-1.3388420332801458,2.0433118803270136,20.42652329749104,0.9942122186495176,4.023076923076923,1.163333333333333,0.0045534788578473,0.5633333333333334,0.1714285714285714,0.0,0.1722038615411376,0.1776504297994269,0.0376899696048632,2.1379310344827585,0.0151975683890577,,0.0917178597295463,0.0630384534566085,-48.738434163701065,-9000000.0,-9764000000.0,-12977000000.0,2143000000.0,651000000.0,685500000.0,-12000000.0,34.03039513677812,121.72661870503596,-2.589928057553957,2.644694533762058,0.7393617021276596,-34.75,-0.0341919307043537,0.2206405693950178,2023-05-03,1.13,bmo,1623050000.0,2025-04-25,2023-03-31,-0.0619469026548671,128.67532258064517,1547324.758064516
2022-12-31,YUM,USD,1041061,2023-02-27,2023-02-24 18:07:33,2022,Q4,2019000000.0,1074000000.0,945000000.0,0.4680534918,0,372000000.0,0.0,372000000.0,-5000000.0,367000000.0,1441000000.0,0.0,137000000.0,42000000.0,606000000.0,0.3001485884,578000000.0,0.2862803368,-151000000.0,427000000.0,0.211490837,56000000.0,371000000.0,0.1837543338,1.31,1.29,283000000,287000000,https://www.sec.gov/Archives/edgar/data/1041061/000104106123000009/0001041061-23-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1041061/000104106123000009/yum-20221231.htm,7.134275618374558,1.3109540636042405,1.5971731448763251,1.1696113074204948,1.2968197879858658,-31.363957597173144,-34.869257950530034,-31.363957597173144,45.2226148409894,36246640000.0,48540640000.0,24.42495956873316,17.95276869737494,80.19168141592921,109.50646525679758,-4.0836683190626415,-4.0836683190626415,24.041921743437342,80.10006600660066,107.390796460177,146.64845921450151,0.0102354314772348,0.0091318809136515,-1.4264308246958088,2.165754361956893,20.287128712871286,0.9663663663663664,4.218978102189781,1.2183288409703503,0.004414202254333,0.431266846361186,0.1842496285289747,0.0,0.1696886760177899,0.2676991150442478,0.0599306587419514,2.880952380952381,0.0099058940069341,,0.1078138087830561,0.0764318088174701,-48.92226148409894,-56000000.0,-9868000000.0,-13113000000.0,2849000000.0,629500000.0,619000000.0,-9500000.0,30.312035661218427,20.36312849162011,0.0,2.969117647058824,4.419753086419753,0.0,-0.0417981072555205,0.4275618374558304,2023-02-08,1.26,bmo,1920035880.0,2025-04-25,2022-12-31,0.0396825396825397,121.12190476190476,1830932.4603174604
