date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare,report_date,epsEstimated,time,revenueEstimated,updatedFromDate,fiscalDateEnding,surprise(%),QuarterAvgPrice,QuarterAvgVolume
2025-03-31,ZBH,USD,1136869,2025-05-05,2025-05-05 16:00:26,2025,Q1,1909100000.0,700800000.0,1208300000.0,0.6329160337,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203100000,203900000,https://www.sec.gov/Archives/edgar/data/1136869/000095017025063509/0000950170-25-063509-index.htm,https://www.sec.gov/Archives/edgar/data/1136869/000095017025063509/zbh-20250331.htm,9.399803052683406,0.0,1.8847858197932053,1.8847858197932053,6.816838995568685,68.5012309207287,2.24519940915805,68.5012309207287,35.33382570162482,22986858000.0,28778658000.0,0.0,12.04067780629616,60.049263322884016,60.04926332288401,1.6522330836795425,1.6522330836795425,15.074463359698289,0.0,75.17935736677116,75.17935736677116,0.0,0.0166529936366248,0.5158130040395038,0.3234913608517889,0.0,3.2980530973451327,0.0,2.0963855421686746,0.0020794490486694,0.0,0.0,0.0,0.6065930697487818,0.0,0.0,0.0,0.0102666177780105,0.0,,0.0,-22.72107336287543,3895200000.0,456000000.0,-2681100000.0,19416700000.0,1507050000.0,97300000.0,2239750000.0,72.28851291184327,0.0,288.21061643835617,1.2450110864745012,0.0,0.3122716335442474,0.0,0.0,2025-03-31,,,,,,,106.97133333333332,1853599.25
2024-12-31,ZBH,USD,1136869,2025-02-25,2025-02-25 16:01:39,2024,Q4,2023200000.0,586700000.0,1436500000.0,0.7100138395,108500000,0.0,0.0,746900000.0,192100000.0,1047500000.0,1634200000.0,0.0,61900000.0,263600000.0,611800000.0,0.3023922499,389000000.0,0.1922696718,-100000000.0,289000000.0,0.142843021,48900000.0,239500000.0,0.1183768288,1.18,1.2,199100000,199900000,https://www.sec.gov/Archives/edgar/data/1136869/000095017025026604/0000950170-25-026604-index.htm,https://www.sec.gov/Archives/edgar/data/1136869/000095017025026604/zbh-20241231.htm,10.161727774987444,1.202913108990457,2.542943244600703,2.1165243596182823,2.639377197388247,62.66298342541437,-5.390758412857861,62.62230035158212,31.474133601205423,21030933000.0,26710033000.0,21.952957202505218,10.394885824436535,41.53848113766541,49.90729235880399,1.6867793007755791,1.6867793007755791,13.201874752866743,43.658112128146456,52.75534860754493,63.384036544850495,0.0113879873993227,0.0200371519418563,0.4976379721048115,0.2904054705527186,9.282608695652174,1.9060345179321885,6.284329563812601,2.108704706372345,0.0022823523806575,0.2004175365344467,0.0,0.0536279161724001,0.6341825296157788,0.1676871420106656,0.0419632265717674,0.3220789074355083,0.0104290233293792,41.16924440867547,0.0163408529318862,0.030643056372988,-30.815796082370667,2220600000.0,-1073300000.0,-4217600000.0,17818900000.0,1481100000.0,249550000.0,2302000000.0,65.86743772241992,29.851712970853928,342.8958581898756,1.366380765853988,3.0149023638232277,0.2624703619201002,0.0192090214226706,0.4264188849824209,2025-02-06,2.3,bmo,2014321542.0,2025-05-06,2024-12-31,0.0043478260869566,107.29625,1495569.46875
2024-09-30,ZBH,USD,1136869,2024-10-30,2024-10-30 16:05:30,2024,Q3,1824200000.0,538600000.0,1285600000.0,0.7047472865,111600000,0.0,0.0,709700000.0,184800000.0,1006100000.0,1463600000.0,0.0,54300000.0,250900000.0,532500000.0,0.2919087819,279500000.0,0.1532178489,-49200000.0,230300000.0,0.126247122,-18900000.0,249200000.0,0.1366078281,1.23,1.23,202300000,203000000,https://www.sec.gov/Archives/edgar/data/1136869/000095017024118959/0000950170-24-118959-index.htm,https://www.sec.gov/Archives/edgar/data/1136869/000095017024118959/zbh-20240930.htm,9.017301038062284,1.231833910034602,1.9560059317844785,1.8220464656450817,2.812654473554128,61.21206129510628,-5.904102817597627,61.17004448838359,32.75729115175482,21838285000.0,27841785000.0,21.908391853932585,11.9714313123561,55.18899418751579,59.24656809549647,1.7647526808730718,1.7647526808730718,15.262462997478346,52.28504225352113,70.36084154662623,75.53387140531741,0.0114111524783196,0.0168786147813347,0.5311239868441255,0.3025971096163496,11.274178403755869,1.3619690308851118,5.147329650092081,1.5878812199036918,0.0022529241650614,0.1974317817014446,0.0,0.0611775024668347,0.625111071209882,0.0684862269396007,0.0148558272119285,0.1080111598246313,0.0134305448963929,41.17529646863654,0.0152269504566309,0.0306040993773564,-31.995180425111226,1292700000.0,-1194400000.0,-4473100000.0,16977499999.0,1449750000.0,315000000.0,2369300000.0,73.09231443920623,50.88191607872262,395.8095061269959,1.2313196085048936,1.7688013136288998,0.2273821083294634,0.0201378619279659,0.1339594661393969,2024-10-30,1.74,bmo,1798246992.0,2025-04-25,2024-09-30,0.0,109.1365625,1485682.015625
2024-06-30,ZBH,USD,1136869,2024-08-07,2024-08-07 16:05:38,2024,Q2,1942000000.0,763400000.0,1178600000.0,0.606900103,109400000,0.0,0.0,733700000.0,2000000.0,843100000.0,1606500000.0,0.0,51100000.0,243200000.0,645300000.0,0.3322863028,335500000.0,0.1727600412,-49100000.0,302200000.0,0.1556127703,59100000.0,242800000.0,0.1250257467,1.18,1.18,205700000,206400000,https://www.sec.gov/Archives/edgar/data/1136869/000095017024092746/0000950170-24-092746-index.htm,https://www.sec.gov/Archives/edgar/data/1136869/000095017024092746/zbh-20240630.htm,9.44093339815265,1.180359747204667,1.7958191541079245,1.2834224598930482,2.04229460379193,61.98104035002431,-3.80359747204667,61.94020418084589,28.61351482741857,21795972000.0,27210572000.0,22.44231054365733,11.223466529351183,59.00371413102327,82.5605,1.7106821232075724,1.7106821232075724,14.011623069001027,42.1673206260654,73.6615376285869,103.07034848484848,0.0111396729634264,0.012112329746065,0.4579431917181405,0.2711291821561338,8.39082597241593,1.285722203746813,6.565557729941292,1.5214168039538716,0.0022664738236954,0.2034596375617792,0.0,0.0563336766220391,0.6288057620817844,0.2853275582024905,0.0542739443872296,0.4333881578947368,0.0135942327497425,40.558769512226895,0.0136378530740547,0.0303952128791577,-29.664316966456003,1031000000.0,-782400000.0,-4131100000.0,16665900000.0,1432200000.0,347900000.0,2379050000.0,65.71575695159629,38.37437778359968,279.3961226093791,1.369534555712271,2.34531490015361,0.3221232963416178,0.0190564393969123,0.512396694214876,2024-08-07,1.99,bmo,1939970619.0,2025-04-25,2024-06-30,0.0100502512562813,117.88412698412698,1439939.9047619049
2024-03-31,ZBH,USD,1136869,2024-05-02,2024-05-02 16:08:17,2024,Q1,1889200000.0,719800000.0,1169400000.0,0.618992166,107900000,0.0,0.0,735200000.0,-100000.0,843100000.0,1562900000.0,0.0,50700000.0,238600000.0,631100000.0,0.3340567436,326300000.0,0.1727186111,-50800000.0,215100000.0,0.1138577176,42300000.0,172400000.0,0.0912555579,0.84,0.84,205200000,206200000,https://www.sec.gov/Archives/edgar/data/1136869/000095017024052097/0000950170-24-052097-index.htm,https://www.sec.gov/Archives/edgar/data/1136869/000095017024052097/zbh-20240331.htm,9.206627680311891,0.8401559454191033,1.1111111111111112,0.3820662768031189,1.915204678362573,61.432748538011694,-4.481481481481482,61.39376218323586,28.493664717348928,26624700000.0,32027900000.0,38.608903712296986,14.093108193944529,116.775,339.60076530612247,2.113406889982537,2.113406889982537,16.953154774507727,50.74932657265093,140.47324561403508,408.5191326530612,0.006475190330783,0.0029446341179431,0.4600889030004763,0.2701888832951091,8.561559182379971,1.6558813013943512,6.435897435897436,1.322505800464037,0.0018554199671733,0.2865429234338747,0.0,0.0571141223798433,0.6304935578303593,0.656140350877193,0.0791869574423036,0.6269907795473596,0.0153504128731738,34.06695645302898,0.0133567834323489,0.0217490033809355,-30.090155945419102,1834500000.0,-919600000.0,-4214900000.0,17451000000.0,1444400000.0,390450000.0,2386700000.0,68.90535676476816,46.30036121144762,298.6079466518477,1.3061393805309736,1.9438293275722387,0.3013985428356084,0.0136847118590252,0.7290448343079922,2024-05-02,1.87,bmo,1867447069.0,2025-04-25,2024-03-31,0.0374331550802138,124.9144262295082,1563276.737704918
2023-12-31,ZBH,USD,1136869,2024-02-23,2024-02-23 16:06:31,2023,Q4,1940100000.0,538800000.0,1401300000.0,0.7222823566,113300000,0.0,0.0,708400000.0,-144900000.0,966600000.0,1505400000.0,0.0,50300000.0,241200000.0,701000000.0,0.3613215814,434700000.0,0.2240606154,-69700000.0,284400000.0,0.1465903819,-135200000.0,419200000.0,0.2160713365,2.01,2.01,207900000,208600000,https://www.sec.gov/Archives/edgar/data/1136869/000095017024019353/0000950170-24-019353-index.htm,https://www.sec.gov/Archives/edgar/data/1136869/000095017024019353/zbh-20231231.htm,9.331890331890332,2.016354016354017,2.8302068302068304,2.1486291486291487,2.0,60.06830206830207,-5.708032708032708,60.03126503126503,29.07888407888408,25301430000.0,30880830000.0,15.08911617366412,13.04130199474254,43.00039089055064,56.64076561450638,2.0272769520451908,2.0272769520451908,15.91713313746714,44.0525392296719,52.482715839564925,69.13102753525857,0.0165682334951028,0.0176551285836413,0.4803653699771644,0.27888672320195,7.959201141226819,1.6131798138167566,8.642147117296222,1.4039608685277976,0.0019840775798047,0.1197519083969465,0.0,0.0583990515952785,0.6361335820513655,0.2408225696804894,0.0730374722952425,0.5874792703150912,0.013040564919334,52.1871282303748,0.0326791214026196,0.0535924316031705,-30.39201539201539,1752100000.0,-1186700000.0,-4399200000.0,17691200000.0,1391550000.0,365150000.0,2354250000.0,66.91201484459563,68.58574610244989,398.4187082405345,1.3450499168053245,1.3122260107160253,0.2258930068757337,0.0335883979007251,0.6815776815776816,2024-02-08,2.15,bmo,1928416240.0,2025-04-25,2023-12-31,0.0232558139534884,111.58333333333331,1759371.5714285714
2023-09-30,ZBH,USD,1136869,2023-11-07,2023-11-07 16:05:56,2023,Q3,1753600000.0,518600000.0,1235000000.0,0.7042655109,116900000,0.0,0.0,674900000.0,3800000.0,936800000.0,1455400000.0,51100000.0,51100000.0,241200000.0,542900000.0,0.3095916971,266600000.0,0.1520301095,-47400000.0,219200000.0,0.125,56400000.0,162700000.0,0.0927805657,0.78,0.77,208900000,210000000,https://www.sec.gov/Archives/edgar/data/1136869/000095017023060232/0000950170-23-060232-index.htm,https://www.sec.gov/Archives/edgar/data/1136869/000095017023060232/zbh-20230930.htm,8.394447103877454,0.7788415509813308,1.6160842508377211,1.1498324557204405,1.398276687410244,59.92340832934418,-5.189564384873145,59.92340832934418,26.488750598372427,23442758000.0,28633058000.0,36.02144744929318,13.368361085766423,69.4394490521327,97.5968276436303,1.8727239175587151,1.8727239175587151,16.32815807481752,52.74094308344078,84.81356042654028,119.20507077435472,0.0069403096683419,0.0102462346793837,0.4379613356766256,0.2583929152154138,9.56032418493277,2.11044603205252,5.217221135029354,2.0737100737100738,0.002137120555525,0.3079287031346036,0.0,0.0666628649635036,0.6410853407360975,0.2885071090047393,0.0555428832116788,0.4038142620232172,0.0088959854014598,32.40515246646072,0.0101536875393468,0.021365164408026,-29.87087123025371,2300400000.0,-1084100000.0,-4327300000.0,17934700000.0,1354000000.0,337150000.0,2299550000.0,68.80873631386862,55.482067103740846,403.1951407635943,1.3079734467069442,1.6221457616515482,0.2232169758533121,0.0129972839111679,0.466251795117281,2023-11-07,1.59,bmo,1748807938.0,2025-04-25,2023-09-30,0.0377358490566036,126.99095238095238,1578733.8412698412
2023-06-30,ZBH,USD,1136869,2023-08-01,2023-08-01 16:07:01,2023,Q2,1869600000.0,525500000.0,1344100000.0,0.718923834,118100000,0.0,0.0,725800000.0,-1200000.0,982100000.0,1507600000.0,51600000.0,51600000.0,237500000.0,598600000.0,0.3201754386,329600000.0,0.1762943945,-52800000.0,276800000.0,0.1480530595,66900000.0,209600000.0,0.1121095421,1.0,1.0,208600000,209900000,https://www.sec.gov/Archives/edgar/data/1136869/000095017023036456/0000950170-23-036456-index.htm,https://www.sec.gov/Archives/edgar/data/1136869/000095017023036456/zbh-20230630.htm,8.962607861936721,1.0047938638542666,1.667785234899329,0.8499520613614573,1.5330776605944392,59.34132310642378,-6.676893576222435,59.34132310642378,27.61744966442953,30372160000.0,35761760000.0,36.22633587786259,16.245271715875052,87.30140845070422,171.30377890580937,2.453602184415039,2.453602184415039,19.128027385537013,59.74233210825259,102.79321644150616,201.70197405527355,0.0069010567572408,0.0058375828390209,0.4612314801350718,0.2681186984310355,9.003675242231875,1.9643208881726208,6.387596899224806,1.6582459485224024,0.0016561219221813,0.2399809160305343,0.0,0.0631685922122379,0.6467176662299301,0.4903707962058062,0.0912494651262302,0.7183157894736842,0.0181322207958921,36.62759123846913,0.0127646754844717,0.0278615959271025,-30.836649089165867,2154100000.0,-1392800000.0,-4527800000.0,17900500000.0,1374100000.0,375850000.0,2258550000.0,65.81996148908858,60.73073263558515,389.7659372026641,1.3673663424266804,1.48195149464185,0.2309078126373143,0.0169324479343382,0.8178331735378715,2023-08-01,1.82,bmo,1824800000.0,2025-04-25,2023-06-30,0.0,135.8967741935484,1446924.9193548388
2023-03-31,ZBH,USD,1136869,2023-05-02,2023-05-02 16:06:27,2023,Q1,1831000000.0,500800000.0,1330200000.0,0.7264882578,110400000,0.0,0.0,715900000.0,133400000.0,959700000.0,1460500000.0,48200000.0,48200000.0,231800000.0,606600000.0,0.3312943747,327300000.0,0.1787547788,-40500000.0,286800000.0,0.1566357182,54100000.0,232500000.0,0.1269797925,1.11,1.11,209400000,210400000,https://www.sec.gov/Archives/edgar/data/1136869/000095017023016663/0000950170-23-016663-index.htm,https://www.sec.gov/Archives/edgar/data/1136869/000095017023016663/zbh-20230331.htm,8.744030563514805,1.1103151862464182,1.4694364851957975,1.2464183381088825,1.576886341929322,58.05921680993314,-7.874880611270296,58.05921680993314,27.879656160458453,27054480000.0,32514080000.0,29.09083870967742,14.775794647733475,87.92486187845303,103.65701149425286,2.2253142067513325,2.2253142067513325,17.757553249590387,53.60052753049785,105.66811829704255,124.57501915708812,0.0085937707913809,0.0096472007593566,0.4762288609593998,0.2725445430366935,9.00032970656116,1.8888175357479235,6.79045643153527,1.3217353951890034,0.0018592114873396,0.2163440860215053,0.0,0.0602949208083014,0.6499211523524843,0.151771205719857,0.0255051884216275,0.2014667817083693,0.0136537411250682,38.08465147309277,0.0136235798862412,0.031263026260942,-31.515639923591213,2076100000.0,-1649000000.0,-4674000000.0,17789100000.0,1381200000.0,375600000.0,2194250000.0,67.87602403058438,71.36381789137381,402.7895367412141,1.3259468462596855,1.26114328884412,0.2234417525543211,0.0191238402316246,0.223018147086915,2023-05-02,1.66,bmo,1704330000.0,2025-04-25,2023-03-31,0.1385542168674698,125.55064516129032,1434262.0483870967
2022-12-31,ZBH,USD,1136869,2023-02-24,2023-02-24 09:46:33,2022,Q4,1825100000.0,520300000.0,1304800000.0,0.7149197304,108000000,0.0,0.0,727100000.0,142900000.0,978000000.0,1498300000.0,42600000.0,42600000.0,228500000.0,60000000.0,0.032874911,322900000.0,0.1769218125,-46500000.0,-74800000.0,-0.0409840557,55400000.0,-130200000.0,-0.0713385568,-0.62,-0.62,209800000,209800000,https://www.sec.gov/Archives/edgar/data/1136869/000095017023004264/0000950170-23-004264-index.htm,https://www.sec.gov/Archives/edgar/data/1136869/000095017023004264/zbh-20221231.htm,8.699237368922784,-0.6205910390848427,1.1639656816015254,0.8617731172545281,1.823164918970448,57.32602478551001,-7.707340324118208,57.29885605338418,27.355100095328886,26749500000.0,32070300000.0,-51.36232718894009,14.65645718042847,109.53931203931204,147.9507743362832,2.225175313817973,2.225175313817973,17.57180428469673,534.505,131.32800982800984,177.37997787610618,-0.0048673806987046,0.0067590048412119,0.4738672190195735,0.2704120383556441,88.68,1.8774064964803665,7.57981220657277,-1.8755760368663592,0.0018841473672405,-0.3870967741935484,0.0,0.059174839734809,0.6476787240102535,0.2596232596232596,0.0347378225850638,0.2774617067833698,0.0146841268971563,,0.0291142345057083,-0.0175424413904607,-31.20483794089609,2069100000.0,-1617000000.0,-4611700000.0,17585600000.0,1330000000.0,344000000.0,2137900000.0,68.12503424469892,61.25120123005959,371.41649048625794,1.3211002533478104,1.469358938153064,0.2423155737704918,-0.0108307753737116,0.3021925643469971,2023-02-03,1.83,bmo,1760948445.0,2025-04-25,2022-12-31,0.0273224043715846,116.0463492063492,1198771.746031746
